ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0098687	chromosomal region	367	-0.686570991309198	-2.90817029029198	3.904378168404e-49	4.16597150568707e-46	3.02486561257405e-46	2318	tags=42%, list=12%, signal=38%	CFDP1/PDS5B/PPP1CC/NUP85/NDE1/NAT10/ZW10/CBX1/RNF8/REC8/RANGAP1/ZNF330/DCTN6/ORC5/RPA2/THOC7/ITGB3BP/CENPP/NSMCE4A/GTF2B/DNA2/NSMCE1/CKAP5/RBBP7/DCLRE1B/SEH1L/HNRNPU/PPP2CA/RPA1/PARP1/LRWD1/ACTB/PPP1CA/RAD21/BUB3/SUGT1/PTGES3/STAG3/PHF10/XRCC5/DYNLL1/HDAC2/DYNC1LI1/NHP2/PIF1/CBX3/XRCC6/CENPV/POLD1/GAR1/CENPX/MIS18BP1/MSH2/THOC3/CHEK2/DNMT1/POLE3/CHEK1/NCAPD2/WRAP53/SUV39H2/DSCC1/SKA2/SMC1A/INCENP/NUP107/CENPL/SNAI1/CHMP1B/KNTC1/MTBP/ACTL6A/PINX1/SPDL1/DSN1/SSB/RECQL4/MIS18A/BRCA2/HELLS/PLK2/HAT1/SLF1/PCNA/HNRNPA2B1/CENPQ/NCAPD3/CENPO/MCM7/XRCC3/SMC4/CENPH/MCM6/CDK2/OIP5/ZWILCH/MCM3/ALYREF/SUV39H1/NUP37/CENPN/CENPM/CDT1/KNSTRN/CENPK/MCM4/SGO1/FEN1/KIF22/KNL1/AURKB/PLK1/CENPE/ORC1/RAD51AP1/SGO2/EZH2/SPAG5/SKA1/CENPI/MCM2/CENPF/DMC1/NDC80/BLM/CDCA5/RAD51/NCAPG/SKA3/CDCA8/CENPW/MCM5/ESCO2/KIF18A/KIF2C/BIRC5/TTK/SPC25/SPC24/CENPU/ZWINT/ERCC6L/AURKA/HJURP/BUB1/NEK2/CCNB1/TOP2A/CENPA/BUB1B/CDC20/MAD2L1/CDK1/NUF2
GO:0005819	spindle	419	-0.579649857253637	-2.46489695343465	1.46164774648904e-29	3.1191562910076e-27	2.26478471877038e-27	3494	tags=42%, list=18%, signal=35%	CHMP2B/WAPL/NEIL2/LSM14A/CCAR2/AKT1/ABRAXAS2/TUBGCP3/POLDIP2/ZNF207/UXT/IKBKG/CHMP4B/AAAS/MZT2A/CHMP6/CHMP5/DYNLT1/SAC3D1/TTL/KIF2A/VPS4A/RASSF1/RAB11A/CHMP2A/TOPORS/CHMP4A/NUDCD2/CALM3/KATNBL1/BCL2L10/CIAO2B/EML2/RMDN3/MAP7D3/CDC42/ERCC2/SPOUT1/RTRAF/PRPF19/WDR5/ANAPC7/SBDS/ADRB2/NUP85/NDE1/RGS14/PHLPP2/FMN2/ZW10/CBX1/ARL3/RANGAP1/ODF2/HAUS5/IK/TUBB2B/KATNA1/CALM2/CDC27/CALM1/HSPA2/NSMCE1/TADA2A/CKAP5/DR1/NSUN2/NUDC/HNRNPU/HAUS4/MYH10/PPP2CA/NPM1/CCSAP/MAD2L2/NEDD1/PIN4/RAD21/HAUS2/HAUS3/DIAPH1/BCCIP/SLC25A5/PKP4/EML4/NEK7/DYNLL1/RB1/DYNC1LI1/DCUN1D5/CBX3/HAUS6/CENPV/HAUS1/PYCR3/SKA2/GPSM2/POLB/SMC1A/INCENP/PTP4A1/MAPRE1/CHMP1B/KNTC1/PINX1/SPDL1/FBXO5/DSN1/TUBB6/TUBB3/PLK2/PSRC1/NEDD9/WDR62/TUBG1/TUBB/HAUS8/MZT1/POC1A/HASPIN/ZWILCH/ECT2/TUBB2A/TUBB4B/CKAP2/KNSTRN/CDC7/ESPL1/CEP128/AUNIP/BORA/SGO1/KIF4A/KIF22/KIF20B/KIFC1/AURKB/PLK1/UHRF1/CKAP2L/ASPM/CENPE/TACC3/SPAG5/KIF14/KIF20A/SKA1/KIF18B/DIAPH3/KIF15/CENPF/RACGAP1/NUSAP1/SKA3/KIF11/CDCA8/KIF18A/PRC1/KIF2C/BIRC5/SHCBP1/TTK/FAM83D/CDC6/AURKA/TPX2/NEK2/CCNB1/KIF23/DLGAP5/BUB1B/CDC20/MAD2L1/CDK1/HMMR
GO:0005743	mitochondrial inner membrane	457	-0.561986087392426	-2.40908617822446	2.98167156273625e-29	5.30240592906596e-27	3.85001801784891e-27	4452	tags=59%, list=23%, signal=47%	DNAJC19/ATP5MF/PTPN1/CYP1A1/NDUFB11/ATP5F1A/CPS1/PDSS2/NDUFA13/SMDT1/STMP1/SLC25A21/LETM1/ATPAF1/COX6B1/SLC25A40/COA1/ALDH18A1/MRPL9/MRPS21/MRPS14/COQ7/TIMM29/MICU1/DNAJC11/SLC25A35/SDHC/NDUFC2/SDHA/SLC9B2/DNAJC30/NDUFA11/YME1L1/ATAD3B/NDUFV3/SCO2/SDHD/MRPL54/MRPL37/IMMT/HSPA9/TMEM177/TMEM186/NDUFS2/IMMP1L/CYP2E1/OPA1/MPV17L2/UQCRHL/ATP5PO/CKMT1B/MTHFD2L/NDUFV1/TIMM17B/COX6A1/SURF1/RDH13/NDUFB4/COX7A2L/SFXN2/TTC19/CYC1/NDUFA8/NDUFA7/MRPS12/PTPMT1/TWNK/MRPL44/NDUFAF3/MRPS9/ACAD9/MCUB/ABCB10/PHB2/THEM4/MRPL14/COX7C/ATP5PB/UQCRC1/UQCRC2/MRPL49/BCS1L/NDUFC1/ENDOG/DAP3/TIMM9/NDUFS1/COX20/CPT2/MRPL57/MRPL19/CRLS1/SLC25A4/NDUFA6/COQ5/MRPS18B/UQCC2/SAMM50/MRPL43/COX4I1/MRPS35/ATP5ME/COA3/MRPS18A/MRPL30/TMEM126A/UQCC3/TMEM70/ATP5PF/TIMMDC1/NDUFAF4/NDUFB7/AFG3L2/NDUFA2/NDUFB8/ATAD3A/PARL/PISD/MRPS26/NDUFS3/MRPS33/RAB5IF/SLC25A20/ROMO1/NDUFA9/MRPS16/UQCRFS1/TIMM50/COX7B/SCO1/NDUFA5/GHITM/MICU2/UQCR10/COX8A/MRPL41/COQ10B/GUF1/ATP5F1B/TAMM41/MRPL35/SLC25A11/PMPCA/MTX1/NME4/NDUFB10/AIFM1/MRPL53/MRPL28/SLC25A24/DMAC1/MPC2/COX5B/AGK/STOML2/COQ6/MRPL22/HCCS/UQCRH/ATP5MC1/MTX2/TIMM13/MRPL50/MRPL32/ATP5MG/MRPL11/TMEM223/SLC25A15/NDUFB1/ATP5F1C/MRPS28/MRPS34/NDUFA1/NDUFB2/SFXN1/NDUFAF1/MRPS6/NDUFB5/TIMM8A/NDUFV2/MRPS15/GADD45GIP1/COX14/TIMM23/MRPL15/SDHB/FOXRED1/MRPL27/SLC25A33/MRPS10/MTLN/ATP5MC3/PGAM5/AURKAIP1/MRPL20/ATP5PD/MRPS22/TRAP1/MRPL24/MRPL36/MRPL33/GPD2/SLC25A5/LDHB/NDUFAF5/MRPL39/MRPL21/SLC25A10/MRPL16/MRPL51/NDUFS5/TIMM22/NDUFS6/SLC25A32/MRPL40/HIGD1A/MRPS18C/TIMM8B/MRPL17/NDUFA12/MRPS17/TIMM21/NDUFB9/GRPEL1/COX6C/UQCRQ/TOMM40/CHCHD3/UCP2/MRPL58/MRPL46/SLC25A25/PET100/TMEM11/CHCHD1/MRPL3/MTFP1/MRPL52/MRPL47/MRPL42/MAIP1/NDUFAB1/SLC25A19/L2HGDH/MRPL1/LETM2/SLC25A18/OCIAD2/NDUFAF2/MRPL23/MRPS7/MRPL12/MRPL18/MRPS23/SLC25A13/TIMM10/PDSS1/COX7A2/NDUFB3/MGARP/NDUFB6/TIMM17A/CYCS/MRPS30/COQ2/MRPL13/APOO/HSPD1/MYOC/COQ3/TYMS
GO:0000228	nuclear chromosome	215	-0.683330299215909	-2.72320948333478	3.3085678966852e-28	4.41280243220389e-26	3.20408680521093e-26	2479	tags=45%, list=13%, signal=40%	PRPF19/SUN2/RCC1/HDAC1/CFDP1/POLD3/ING3/NOL6/CHD1/MORF4L1/CDC5L/SWI5/REC8/RAD1/IK/ORC5/ACTR6/RPA2/SINHCAF/HSPA2/POLE4/RBBP7/DHX9/HNRNPU/RPA1/PARP1/LRWD1/FIGNL1/RAD21/BCAS2/POLE/NIFK/SYN1/STAG3/RUVBL1/HDAC2/RRS1/SMC2/RUVBL2/POLD1/TOP1/POLE3/CHEK1/NCAPD2/SAP30/SMC1A/RPA3/INCENP/MMS22L/ACTL6A/UCHL5/PINX1/BRCA2/PRIM2/POLA2/TONSL/PCNA/PSMC3IP/NCAPD3/TUBG1/ORC6/POLA1/TIPIN/MCM7/EXOSC9/TIMELESS/SMC4/GINS3/MCM6/MCM3/SUV39H1/BRCA1/ANP32E/WDHD1/POLE2/PRIM1/MCM4/GINS2/GINS1/PLK1/ORC1/NCAPG2/E2F1/MCM2/DMC1/BLM/RAD51/NCAPG/MCM5/BIRC5/CDC45/GINS4/MCM10/NCAPH/NEK2/TOP2A/EME1
GO:0098798	mitochondrial protein-containing complex	172	-0.685763366843773	-2.66976247884724	4.51457766602281e-23	5.35228263294038e-21	3.88623293823718e-21	4329	tags=70%, list=22%, signal=55%	MFN1/PDSS2/SUPV3L1/SMDT1/TOMM20/MRPL9/MRPS21/MRPS14/TIMM29/MICU1/DNAJC11/MRPL54/MRPL37/IMMT/HSPA9/IMMP1L/TIMM17B/MRPS12/MRPL44/TOMM40L/MRPS9/MCUB/PHB2/MRPL14/MRPL49/TOMM70/DAP3/TIMM9/TOMM22/MRPL57/MRPL19/SLC25A4/ISCA2/MRPS18B/SAMM50/HSD17B10/MRPL43/MRPS35/MRPS18A/MRPL30/AFG3L2/MRPS26/NFS1/MRPS33/ROMO1/MRPS16/TIMM50/MICU2/TOMM6/MRPL41/MRPL35/PMPCA/MTX1/MRPL53/MRPL28/MPC2/AGK/MRPL22/DNA2/MTX2/TIMM13/MRPL50/MRPL32/MRPL11/MRPS28/MRPS34/MRPS6/TIMM8A/MRPS15/GADD45GIP1/TIMM23/PPIF/MRPL15/MRPL27/MRPS10/AURKAIP1/MRPL20/MRPS22/MRPL24/MRPL36/MRPL33/SLC25A5/VDAC1/MRPL39/TRMT10C/MRPL21/MRPL16/MRPL51/TIMM22/MRPL40/MRPS18C/TIMM8B/MRPL17/MRPS17/TIMM21/GRPEL1/TOMM40/CHCHD3/FXN/MRPL58/MRPL46/CHCHD1/MRPL3/MRPL52/MRPL47/MRPL42/NDUFAB1/MRPL1/MRPL23/MRPS7/MRPL12/PNPT1/MRPL18/MRPS23/TIMM10/TOMM5/PDSS1/TIMM17A/MRPS30/MRPL13/APOO
GO:0044391	ribosomal subunit	174	-0.65971787753029	-2.57626045220529	4.42910328134523e-21	4.72585320119536e-19	3.43138948954747e-19	5821	tags=76%, list=29%, signal=54%	RPL32/RPS4X/MRPS24/RPL7/MRPL4/RPL36AL/RPS27/RPS20/RPL27/MRPL2/RPS26/MRPS27/MRPS11/RPS11/RPL31/RPL18/RPS3/RPL14/RPS23/RPL7A/RPS6/MRPS25/RPS8/PTCD3/RPS21/RPL37/RPL13/RPSA/RPL36/RPL38/RPL39/RPS29/DHX29/RPL11/RPL10A/RPL27A/RPL15/RPL12/MRPL9/MRPS21/MRPS14/RPL8/RPL35A/FAU/RPL30/RPL24/RPS24/RPS15A/RPL22/MRPL54/MRPL37/RPS9/RPS25/RPL34/MRPS12/RPS18/RPL6/MRPL44/RPL23/MRPS9/MRPL14/MRPL49/RPL36A/DAP3/RPS3A/MRPL57/MRPL19/MRPS18B/RPL26/MRPL43/RPL35/MRPS35/MRPS18A/MRPL30/ZCCHC17/RPS7/MRPS26/MRPS33/RPL9/RBM3/MRPS16/RPL7L1/MRPL41/MRPL35/MRPL53/MRPL28/MRPL22/MRPL50/MRPL32/MRPL11/RPS10/MRPS28/MRPS34/MRPS6/MRPS15/NPM1/GADD45GIP1/MRPL15/MRPL27/MRPS10/RPL17/AURKAIP1/MRPL20/MRPS22/MRPL24/MRPL36/MRPL33/MRPL39/MRPL21/RPL39L/MRPL16/MRPL51/MRPL40/MRPS18C/MRPL17/MRPS17/MRPL58/MRPL46/CHCHD1/MRPL3/MRPL52/MRPL47/MRPL42/MRPL1/MRPL23/MRPS7/MRPL12/MRPL18/MRPS23/RPL26L1/LARP4/MRPS30/MRPL13
GO:0005681	spliceosomal complex	195	-0.631420985467628	-2.49783631648954	2.3337785800685e-19	2.07511812077757e-17	1.50672020607931e-17	3353	tags=51%, list=17%, signal=43%	ZMAT2/PPP1R8/CDC40/LSM8/RBM28/SF3B4/PRPF31/BUD31/AQR/C9orf78/DNAJC17/WBP4/LSM2/LSM7/SF3B2/SNW1/RHEB/RBM17/YBX1/WDR83/MTREX/API5/PRPF19/PPIE/SNRPD2/SNRNP35/RBMX2/TSSC4/ZNF830/HNRNPDL/SF3A3/CTNNBL1/SMNDC1/RBM3/SF3B3/CDC5L/HNRNPC/IK/SNRPA/HNRNPA1/DQX1/EIF4A3/ZCRB1/GEMIN2/MFAP1/HNRNPK/SYNCRIP/PRPF40A/RBM8A/USP39/PRPF4/TTF2/HNRNPU/PRKRIP1/EFTUD2/CWC27/IVNS1ABP/BCAS2/TXNL4A/DHX15/RBMX/CWF19L1/HTATSF1/SNRPC/FRG1/CWC15/SNRNP27/PRPF38A/SNRPD3/SRSF1/SNRPB/SNRPE/HNRNPM/SNRPF/SNRNP25/SF3B6/HNRNPR/HNRNPF/NCL/BUD13/SNRPB2/PHF5A/LSM5/SNRNP40/HNRNPH3/MAGOH/PPIH/LSM3/MAGOHB/HNRNPA3/LSM4/LSM6/TRA2B/PPIL1/SNRPD1/HSPA8/HNRNPA2B1/SNRPA1/SNRPG/ALYREF
GO:0005761	mitochondrial ribosome	86	-0.753958265044056	-2.6520894095518	7.03289872572183e-17	5.00273529356346e-15	3.63243049974124e-15	3190	tags=71%, list=16%, signal=60%	MRPS12/MRPL44/MRPS9/MRPL14/MRPL49/DAP3/MRPL57/MRPL19/MRPS18B/MRPL43/MRPS35/MRPS18A/MRPL30/MRPS26/MRPS33/MRPS16/MRPL41/MRPL35/MRPL53/MRPL28/MRPL22/MRPL50/MRPL32/MRPL11/MRPS28/MRPS34/MRPS6/MRPS15/GADD45GIP1/MRPL15/MRPL27/MRPS10/AURKAIP1/MRPL20/MRPS22/MRPL24/MRPL36/MRPL33/MRPL39/MRPL21/MRPL16/MRPL51/MRPL40/MRPS18C/MRPL17/MRPS17/MRPL58/MRPL46/CHCHD1/MRPL3/MRPL52/MRPL47/MRPL42/MRPL1/MRPL23/MRPS7/MRPL12/MRPL18/MRPS23/MRPS30/MRPL13
GO:0031012	extracellular matrix	409	0.487854183256827	2.07518984590753	5.18940361303821e-15	3.05085971090064e-13	2.21519533095533e-13	2837	tags=33%, list=14%, signal=28%	ICAM1/OLFML2A/HMCN1/LOXL1/ANGPTL7/MMP2/COL7A1/ASPN/ELN/CXCL12/CTSS/FN1/COL14A1/MFAP4/PRG4/COL16A1/ABI3BP/GDF15/OGN/COL6A3/COL24A1/MGP/ECM2/COL3A1/SERPINF2/FCGBP/MMP14/ITGB4/COL5A3/COL6A1/COL1A1/INHBE/TNXB/COL10A1/OLFML2B/LTBP2/COL11A1/LAMA2/AGRN/FREM1/LUM/COL6A2/FLRT3/NTN1/CDH13/CHI3L1/MST1/ADAMTS15/LAMA5/OMD/PXDN/ANG/NID1/VIT/BGN/PAPLN/COL1A2/LAMB1/SRPX/MFAP2/PODN/CTSD/NID2/ITIH5/NCAM1/FBLN1/SNED1/SERPINF1/HPX/APOE/ECM1/MMP19/DPT/LAMC2/LAMA4/L1CAM/AMBP/SPOCK1/DST/GPC1/MMP3/FBN1/CTSF/COL27A1/COL17A1/POSTN/LGALS3BP/PCOLCE/FGFBP3/SERPINA3/HSPG2/COL11A2/MMP15/THBS3/MFGE8/S100A10/COLQ/LAMC1/DCN/ADAMTS12/IMPG2/AEBP1/EFNA5/MEGF9/ELANE/VEGFA/HTRA1/COL4A2/CTHRC1/S100A4/OVGP1/VCAN/LTBP4/SRPX2/FRAS1/COL28A1/LTBP1/TIMP2/FGF1/ANGPTL5/VWA2/ACTA2/LAMB3/COL5A1/PF4/ANGPTL2/LAMB2/ANGPT1/MXRA5/MMP17/GLG1/COL18A1/ADAM11
GO:0098803	respiratory chain complex	87	-0.715926094411123	-2.51900526006979	2.68881412322897e-14	1.36617365213586e-12	9.91963506113544e-13	4445	tags=80%, list=22%, signal=63%	ATP5MF/NDUFB11/ATP5F1A/NDUFA13/STMP1/COX6B1/SDHC/NDUFC2/SDHA/NDUFA11/NDUFV3/SDHD/NDUFS2/UQCRHL/ATP5PO/NDUFV1/COX6A1/SURF1/NDUFB4/COX7A2L/CYC1/NDUFA8/NDUFA7/COX7C/ATP5PB/UQCRC1/UQCRC2/BCS1L/NDUFC1/NDUFS1/NDUFA6/COX4I1/ATP5ME/ATP5PF/NDUFB7/NDUFA2/NDUFB8/NDUFS3/NDUFA9/UQCRFS1/COX7B/NDUFA5/UQCR10/COX8A/ATP5F1B/NDUFB10/COX5B/UQCRH/ATP5MC1/ATP5MG/NDUFB1/ATP5F1C/NDUFA1/NDUFB2/NDUFB5/NDUFV2/SDHB/ATP5MC3/ATP5PD/NDUFS5/NDUFS6/NDUFA12/NDUFB9/COX6C/UQCRQ/NDUFAB1/NDUFAF2/COX7A2/NDUFB3/NDUFB6
