ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0140097	catalytic activity, acting on DNA	236	-0.597142715654866	-2.40129933672029	8.1895258055983e-19	1.47329569242713e-15	1.20170515505306e-15	3552	tags=46%, list=18%, signal=38%	HLTF/ZRANB3/CHD4/WAPL/NEIL2/TDG/EXO5/DNASE1L2/SMARCA5/MUTYH/APTX/TWNK/TATDN1/ENDOG/PMS1/TDP2/MLH1/SMARCA4/TOP2B/APEX2/ERCC2/ERCC6/PMS2P1/WRNIP1/G3BP1/ALKBH4/UNG/PDS5B/CHD1L/PRIMPOL/POLD3/CHD7/DCLRE1A/CHD1/ALKBH1/RAD1/PMS2P5/LIG3/DDX1/RECQL/DNA2/POLE4/MSH6/DHX9/DCLRE1B/ANKLE1/FANCM/TTF2/REXO2/ZGRF1/GEN1/DKC1/POLE/PTGES3/RUVBL1/XRCC5/RBBP8/PIF1/XRCC6/RUVBL2/POLD1/NTHL1/RAD51C/NME1/LIG1/MSH2/TOP1/DNMT1/POLE3/DSCC1/POLB/RFC5/RAD54B/TDP1/CHTF18/DDX12P/CDK7/RECQL4/HELLS/ATAD5/PCNA/XRCC2/POLA1/MCM7/RFC4/XRCC3/DNMT3B/MCM6/MCM3/POLE2/BRIP1/RFC2/MCM8/NEIL3/MCM4/RAD54L/FEN1/RFC3/MCM2/DMC1/BLM/EXO1/RAD51/POLQ/MCM5/ERCC6L/TOP2A/EME1
GO:0003735	structural constituent of ribosome	155	-0.645619894712834	-2.48965308540976	3.06623121042919e-17	1.62558429416871e-14	1.32592054420361e-14	5821	tags=75%, list=29%, signal=54%	RPL32/RPS4X/MRPS24/RPL7/MRPL4/RPL36AL/RPS27/RPS20/RPL27/MRPL2/RPS26/MRPS11/RPS11/RPL31/RPL18/RPS3/RPL14/RPS23/RPL7A/RPS6/MRPS25/RPS8/RPS21/RPL37/RPL13/RPSA/RPL36/RSL24D1/RPL38/RPL39/RPS29/RPL11/RPL10A/RPL27A/RPL15/RPL12/MRPL9/MRPS21/MRPS14/RPL8/RPL35A/FAU/RPL30/RPL24/RPS24/RPS15A/RPL22/MRPL54/MRPL37/RPS9/RPS25/RPL34/MRPS12/RPS18/RPL6/RPL23/MRPS9/MRPL14/MRPL49/RPL36A/DAP3/RPS3A/MRPL57/MRPL19/MRPS18B/SRBD1/RPL26/MRPL43/RPL35/MRPS35/MRPS18A/MRPL30/RPS7/MRPS33/RPL9/MRPS16/RPL7L1/MRPL41/MRPL35/MRPL28/MRPL22/MRPL32/MRPL11/RPS10/MRPS34/MRPS6/MRPS15/MRPL15/MRPL27/RPL17/MRPL20/MRPS22/MRPL24/MRPL36/MRPL33/MRPL21/RPL39L/MRPL16/MRPL51/MRPS18C/MRPL17/MRPS17/MRPL46/MRPL3/MRPL52/MRPL47/MRPL42/MRPL1/MRPL23/MRPS7/MRPL12/MRPL18/MRPS23/RPL26L1/MRPS30/MRPL13/RPL22L1
GO:0016887	ATP hydrolysis activity	363	-0.511612133325205	-2.16035783480669	4.51802194043554e-17	1.62558429416871e-14	1.32592054420361e-14	3511	tags=39%, list=18%, signal=33%	DHX16/DDX50/TOR1A/YME1L1/SMCHD1/ATAD3B/ABCF1/VWA8/DDX5/DHX33/HSPA9/CHD4/PFN2/HSPA1B/AFG1L/ATP5PO/ATP8B4/OLA1/DDX19A/SMARCA5/ABCG2/KIF7/TWNK/KIF2A/VPS4A/AQR/ABCB10/DDX31/BCS1L/SMC5/MYO19/RHOBTB3/PMS1/MLH1/SMARCA4/PSMC5/ERCC2/MTREX/CLPB/ERCC6/TOR1B/PMS2P1/WRNIP1/G3BP1/NSF/AFG3L2/CHD1L/ATAD3A/CHD7/DDX27/ATP2A2/CHD1/ATP13A3/PSMC4/PMS2P5/KATNA1/ENTPD1/ABCD3/EIF4A3/ABCF2/DDX1/RECQL/KIF5B/DNA2/HSPA2/DDX47/DHX9/ATP5F1C/VCP/FANCM/HSPA14/KIF5C/SWSAP1/FIGNL1/ACTB/HSPA1A/PSMC1/DHX15/ABCE1/HSP90AB1/TRAP1/DDX18/RIOK1/RUVBL1/XRCC5/CCT3/PIF1/XRCC6/SMC2/RUVBL2/DDX10/PSMC6/PSMC3/TCP1/PSMC2/MSH2/CCT4/CCT7/AK6/HSP90B1/HSPA5/CCT5/SMC1A/RFC5/CHTF18/DDX21/CCT8/CCT2/CCT6A/DDX39A/RECQL4/ATAD5/HSPA8/HSPD1/MCM7/RFC4/SMC4/MCM6/HSP90AA1/MCM3/BRIP1/RFC2/MCM8/MCM4/ATAD2/RAD54L/KIF22/KIF20B/KIFC1/ORC1/KIF14/KIF20A/KIF18B/MCM2/KIF15/BLM/POLQ/TRIP13/MCM5/KIF18A/KIF2C/ERCC6L/KIF23
GO:0016853	isomerase activity	395	-0.505757737046929	-2.15326534231858	4.4195742057328e-17	1.62558429416871e-14	1.32592054420361e-14	3267	tags=36%, list=17%, signal=30%	DDX19A/SMARCA5/PPIL4/HSD17B4/FKBP7/KIF7/BPGM/TWNK/KIF2A/ERP44/PMM1/AQR/QSOX2/ECHS1/DDX31/PIN1/MYO19/RPE/DEGS1/SMARCA4/TOP2B/TMX3/MYH15/PSMC5/ERCC2/MTREX/EIF4H/ERCC6/PGAM1/PPIE/WRNIP1/G3BP1/PPIB/HYI/DDT/CHD1L/DDX27/PPIA/PTPA/PPIG/PSMC4/SDSL/NAXE/CRELD2/KIFC3/KATNA1/DQX1/MYO1F/EIF4A3/FKBP2/DDX1/RECQL/KIF5B/DNA2/DDX47/TPI1/DHX9/PGM2L1/RPUSD2/FANCM/PDIA6/TTF2/MYH10/RPIA/PDIA4/GLRX2/DYNC1I2/KIF5C/PPIF/ZGRF1/PUS7/FIGNL1/PIN4/PSMC1/EBPL/FAHD2A/DHX15/DDX18/DKC1/MYL6/TMX1/PTGES3/RUVBL1/XRCC5/PIF1/XRCC6/FKBP3/RUVBL2/DDX10/PSMC6/PSMC3/PSMC2/TOP1/DSCC1/RFC5/RAD54B/CHTF18/FUOM/DDX21/PPIH/PGM2/FKBP4/DDX12P/DDX39A/RECQL4/PPIL1/HELLS/HSPD1/KIF24/MCM7/RFC4/GALE/MCM6/MCM3/BRIP1/RFC2/MCM8/MCM4/RAD54L/KIF4A/KIF22/KIF20B/KIFC1/CENPE/KIF14/RFC3/KIF20A/KIF18B/MCM2/KIF15/BLM/RAD51/POLQ/KIF11/MCM5/KIF18A/KIF2C/ERCC6L/TOP2A/KIF23/ACTC1
GO:0120543	macromolecular conformation isomerase activity	262	-0.550687003497505	-2.22846324070237	2.94892918001507e-15	8.84187265807853e-13	7.21194259112459e-13	2577	tags=32%, list=13%, signal=29%	TOP2B/MYH15/PSMC5/ERCC2/MTREX/EIF4H/ERCC6/WRNIP1/G3BP1/CHD1L/DDX27/PSMC4/KIFC3/KATNA1/DQX1/MYO1F/EIF4A3/DDX1/RECQL/KIF5B/DNA2/DDX47/DHX9/FANCM/TTF2/MYH10/DYNC1I2/KIF5C/ZGRF1/FIGNL1/PSMC1/DHX15/DDX18/MYL6/RUVBL1/XRCC5/PIF1/XRCC6/RUVBL2/DDX10/PSMC6/PSMC3/PSMC2/TOP1/DSCC1/RFC5/RAD54B/CHTF18/DDX21/DDX12P/DDX39A/RECQL4/HELLS/KIF24/MCM7/RFC4/MCM6/MCM3/BRIP1/RFC2/MCM8/MCM4/RAD54L/KIF4A/KIF22/KIF20B/KIFC1/CENPE/KIF14/RFC3/KIF20A/KIF18B/MCM2/KIF15/BLM/RAD51/POLQ/KIF11/MCM5/KIF18A/KIF2C/ERCC6L/TOP2A/KIF23/ACTC1
GO:0005201	extracellular matrix structural constituent	149	0.619491127999094	2.34062058749454	5.38283345385295e-13	1.21046467293518e-10	9.87324978246185e-11	2218	tags=44%, list=11%, signal=40%	HMCN1/COL7A1/ASPN/ELN/FN1/COL14A1/MFAP4/PRG4/COL16A1/ABI3BP/OGN/COL6A3/COL24A1/MGP/COL3A1/FCGBP/COL5A3/COL6A1/COL1A1/TNXB/COL10A1/LTBP2/COL11A1/LAMA2/AGRN/LUM/COL6A2/CHI3L1/LAMA5/PXDN/NID1/BGN/COL1A2/LAMB1/SRPX/MFAP2/PODN/NID2/FBLN1/ECM1/DPT/LAMC2/LAMA4/SPOCK1/FBN1/COL27A1/COL17A1/POSTN/PCOLCE/HSPG2/COL11A2/THBS3/MFGE8/COLQ/LAMC1/DCN/IMPG2/AEBP1/COL4A2/CTHRC1/VCAN/LTBP4/SRPX2/FRAS1/COL28A1/LTBP1
GO:0003697	single-stranded DNA binding	115	-0.642303146499601	-2.38205812338451	1.44404277439e-12	2.88648105680846e-10	2.3543808508768e-10	1988	tags=54%, list=10%, signal=49%	HMCES/POLR2H/PCBP1/NOL12/TERF2IP/POLR2G/HLTF/ZRANB3/SUB1/APTX/TWNK/RAD23B/SMC5/RNF138/TDP2/MLH1/YBX1/HNRNPDL/SPRTN/WBP11/HNRNPA1/RPA2/NUCKS1/RECQL/DHX9/TSNAX/HNRNPU/TSN/RPA1/SWSAP1/FUBP1/SMC2/SSBP1/MSH2/TOP1/RAD18/RPA3/TDP1/MMS22L/RECQL4/BRCA2/HNRNPA2B1/HSPD1/POLA1/MCM7/SMC4/HMGB1/MCM6/MCM3/MCM8/NEIL3/MCM4/RAD54L/RAD51AP1/MCM2/DMC1/HMGB2/BLM/RAD51/MCM5/CDC45/MCM10
GO:0120545	nucleic acid conformation isomerase activity	155	-0.577764597321854	-2.22798805325335	6.04362061521302e-12	1.08724734867682e-09	8.86821803958627e-10	2577	tags=35%, list=13%, signal=31%	TOP2B/ERCC2/MTREX/EIF4H/ERCC6/WRNIP1/G3BP1/CHD1L/DDX27/DQX1/EIF4A3/DDX1/RECQL/DNA2/DDX47/DHX9/FANCM/TTF2/ZGRF1/DHX15/DDX18/RUVBL1/XRCC5/PIF1/XRCC6/RUVBL2/DDX10/TOP1/DSCC1/RFC5/RAD54B/CHTF18/DDX21/DDX12P/DDX39A/RECQL4/HELLS/MCM7/RFC4/MCM6/MCM3/BRIP1/RFC2/MCM8/MCM4/RAD54L/RFC3/MCM2/BLM/RAD51/POLQ/MCM5/ERCC6L/TOP2A
GO:0015631	tubulin binding	361	-0.457393779038221	-1.9267481068484	1.02681035144369e-11	1.67930165658836e-09	1.36973553101675e-09	923	tags=16%, list=5%, signal=15%	CETN3/MTUS2/HAUS6/CEP135/CEP57L1/CRYAB/DRG1/SKA2/EZR/CCT5/POLB/TBCA/MAPRE1/VBP1/NEFH/BRCA2/HSPH1/PSRC1/CACYBP/KIF24/HAUS8/BRCA1/KNSTRN/KIF4A/KIF22/KIF20B/KIFC1/KNL1/RGS2/PLK1/STMN1/CENPE/SPAG5/KIF14/KIF20A/PDE4B/SKA1/KIF18B/DIAPH3/GAS2L3/KIF15/CENPF/NDC80/RACGAP1/NUSAP1/SKA3/KIF11/KIF18A/PRC1/KIF2C/BIRC5/SPC24/GTSE1/FAM83D/KIF23/DLGAP5/NUF2
GO:0140098	catalytic activity, acting on RNA	370	-0.43635466742104	-1.84576878758195	2.22785571842672e-10	2.86279459817834e-08	2.33506080562921e-08	4318	tags=42%, list=22%, signal=33%	DHX38/POLR2L/SUPV3L1/METTL1/POLR2E/MED21/POP4/DHX29/METTL2B/RPP38/TRNT1/DTWD1/POLR1B/DDX24/DDX20/TRMU/TSEN2/DTD2/DHX16/DDX50/ELAC1/RNASEH1/LRRC47/FXR1/GATB/POLR2H/DDX5/DHX33/USB1/ELAC2/METTL6/RTCB/EXOSC2/ELP3/TRUB1/NARS2/ERI2/PPP1R8/TFB2M/TYW1/DDX19A/OSGEPL1/MTO1/AQR/MRM1/DIS3/DDX31/ENDOG/DIMT1/TDP2/TOE1/TGS1/TRMT61B/CDK5RAP1/METTL5/MTREX/EIF4H/SPOUT1/RPP30/MRM2/PDE12/G3BP1/NUDT12/LARS2/PRIMPOL/DDX27/METTL15/METTL14/NAT10/POLR2J/THUMPD3/PTRH1/POLR2C/DTD1/POLR2I/AARS2/ALKBH1/MARS2/FARS2/EARS2/FDXACB1/EIF4A3/NOP2/POLR3B/DCPS/DDX1/DUS4L/RIDA/TFB1M/POLR1C/POLR2F/QTRT2/SLFN12/JMJD6/CNOT6/RTCA/DDX47/DHX9/FTSJ1/FANCM/NSUN2/FTSJ3/TSNAX/LCMT2/DUS3L/REXO2/POLR3F/EXOSC3/BUD23/PUS7/EXOSC4/FBL/DUS2/DHX15/NT5C3A/SLFN13/POLR2K/DDX18/DBR1/TRMT10C/TARS2/YARS2/EMG1/ETF1/FARSA/CNOT7/MRPL58/POP5/CPSF3/PIF1/EXOSC7/DDX10/POP7/RNGTT/ERI1/PNPT1/RPP40/TYW1B/POLR3K/DARS2/RAD54B/DDX21/DDX12P/POP1/DDX39A/FARSB/PRIM2/POLR3G/EXOSC9/LACTB2/BRIP1/PRIM1/RNASEH2A/FEN1/EXO1
