ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04110	Cell cycle	157	-0.682119303602908	-2.62447116633584	1.00700943238009e-20	3.62523395656834e-18	2.55462392845898e-18	1416	tags=52%, list=8%, signal=49%	RBX1/SKP2/CUL1/PPP2R1B/ORC2/ANAPC1/CDK4/PPP2R5D/YWHAG/YWHAQ/WEE1/ANAPC7/HDAC1/PDS5B/SKP1/CCNH/DBF4B/ORC5/CDC27/ANAPC11/PPP2CA/MAD2L2/RAD21/ANAPC15/BUB3/YWHAZ/CCND1/YWHAE/HDAC2/RB1/CDKN2D/GADD45B/TICRR/CHEK2/CHEK1/SMC1A/CDK7/MTBP/FBXO5/YWHAH/E2F2/PCNA/RBL1/ORC6/MCM7/CDKN2C/MCM6/CDK2/MCM3/CDC25C/CDT1/CDC7/ESPL1/MCM4/PTTG1/SGO1/DBF4/KNL1/AURKB/PLK1/ORC1/CDC25A/E2F1/MCM2/NDC80/CCNE2/PKMYT1/CDCA5/CCNA2/TRIP13/MCM5/ESCO2/TTK/CCNB2/CDC6/CDC45/BUB1/CCNB1/BUB1B/CDC20/MAD2L1/CDK1
hsa03040	Spliceosome	142	-0.691603086239437	-2.61611790510479	6.94890744136961e-20	1.25080333944653e-17	8.81414049142145e-18	3133	tags=58%, list=17%, signal=48%	CDC40/LSM8/SF3B4/PRPF31/BUD31/AQR/LSM2/LSM7/SF3B2/SNW1/TCERG1/NCBP1/RBM17/U2SURP/PRPF19/PPIE/SNRPD2/RBMX2/PUF60/RNU6-2/RBM25/SF3A3/CTNNBL1/SMNDC1/SF3B3/CDC5L/HNRNPC/WBP11/SNRPA/HNRNPA1/EIF4A3/THOC7/HNRNPK/PRPF40A/RBM8A/USP39/PRPF4/SRSF10/HNRNPU/EFTUD2/HSPA1A/BCAS2/TXNL4A/DHX15/RBMX/SNRPC/SRSF9/CWC15/SNRNP27/SRSF2/PRPF38A/SNRPD3/SRSF1/SNRPB/SNRPE/HNRNPM/SNRPF/SF3B6/BUD13/SRSF7/SNRPB2/THOC3/PHF5A/LSM5/SNRNP40/MAGOH/FUS/PPIH/LSM3/MAGOHB/RP9/HNRNPA3/LSM4/LSM6/TRA2B/SRSF3/PPIL1/SNRPD1/HSPA8/SNRPA1/SNRPG/ALYREF
hsa03010	Ribosome	167	-0.656762706984771	-2.54608601803845	1.32684028677333e-19	1.592208344128e-17	1.12199476881534e-17	5558	tags=77%, list=30%, signal=55%	RPL32/RPS4X/MRPS24/RPL7/MRPL4/RPL36AL/RPS27/RPS20/RPL27/MRPL2/RPS26/MRPS27/MRPS11/RPS11/RPL31/RPL18/RPS3/RPL14/RPS23/RPL7A/RPS6/MRPS25/RPS8/PTCD3/RPS21/RPL37/RPL13/RPSA/RPL36/RSL24D1/RPL38/RPL39/RPS29/RPL11/RPL10A/RPL27A/RPL15/RPL12/MRPL9/MRPS21/MRPS14/RPL8/RPL35A/FAU/RPL30/RPL24/RPS24/RPS15A/RPL22/MRPL54/MRPL37/RPS9/RPS25/RPL34/MRPS12/RPS18/RPL6/MRPL44/RPL23/MRPS9/MRPL14/MRPL49/RPL36A/DAP3/RPS3A/MRPL57/MRPL19/MRPS18B/RPL26/MRPL43/RPL35/MRPS35/MRPS18A/MRPL30/RPS7/MRPS26/MRPS33/RPL9/MRPS16/MRPL41/MRPL35/MRPL53/MRPL28/MRPL22/MRPL50/MRPL32/MRPL11/RPS10/MRPS28/MRPS34/MRPS6/MRPS15/GADD45GIP1/MRPL15/MRPL27/MRPS10/RPL17/AURKAIP1/MRPL20/MRPS22/MRPL24/MRPL36/MRPL33/MRPL39/MRPL21/RPL39L/MRPL16/MRPL51/MRPL40/MRPS18C/MRPL17/MRPS17/MRPL58/MRPL46/CHCHD1/MRPL3/MRPL52/MRPL47/MRPL42/MRPL1/MRPL23/MRPS7/MRPL12/MRPL18/MRPS23/RPL26L1/MRPS30/MRPL13/RPL22L1
hsa05014	Amyotrophic lateral sclerosis	325	-0.515744744662499	-2.14978884752151	5.93984341354325e-15	5.34585907218893e-13	3.76711121753664e-13	3808	tags=52%, list=21%, signal=42%	SDHC/NDUFC2/SDHA/NUP133/DNAL1/NDUFA11/KLC2/BECN1/NDUFV3/SDHD/RAB1A/ACTR1A/PFN2/RAB5A/CHMP2B/NDUFS2/PPP3R1/UQCRHL/ATP5PO/DERL1/NDUFV1/RAC1/COX6A1/NDUFB4/COX7A2L/PSMA6/CYC1/NDUFA8/NDUFA7/TOMM40L/SEC13/PSMD3/PSMA1/COX7C/GPX7/TARDBP/ATP5PB/UQCRC1/UQCRC2/NDUFC1/NDUFS1/NCBP1/SIGMAR1/ADRM1/NUP160/PSMB2/RAB8A/NDUFA6/PSMB7/UBQLN1/PSMC5/NUP54/COX4I1/ACTG1/PFN4/ATP5PF/NDUFB7/NUP188/MAP2K3/PSMD11/NDUFA2/NDUFB8/PSMD4/SOD1/NUP85/ACTR10/NDUFS3/CASP3/NUP155/TUBA4A/NDUFA9/PSMB5/PSMC4/SEM1/UQCRFS1/COX7B/NDUFA5/UQCR10/COX8A/DCTN6/HNRNPA1/TUBB2B/ATP5F1B/CASP1/PSMD9/NDUFB10/COX5B/KIF5B/UQCRH/ATP5MC1/NXT1/PSMB6/NDUFB1/ATP5F1C/ATG101/VCP/PFN1/NEFM/SEH1L/NDUFA1/NDUFB2/PSMD8/PSMD1/NDUFB5/PSMD2/NDUFV2/KIF5C/SDHB/ACTB/PSMC1/ATP5MC3/PSMB3/PSMD7/PSMB1/ATP5PD/PSMA5/VDAC1/MAP3K5/NDUFS5/NDUFS6/PSMD13/NDUFA12/NDUFB9/COX6C/TUBA1A/UQCRQ/PSMA2/PSMA3/TOMM40/PSMA4/PSMC6/NDUFAB1/PSMC3/NUP50/PSMD6/SRSF7/PSMC2/PSMA7/NUP58/HSPA5/NUP35/FUS/COX7A2/NDUFB3/PSMD12/EIF2S1/NDUFB6/NUP107/CYCS/HNRNPA3/NUP205/PSMD14/NUP88/TUBB6/SRSF3/NEFH/GRIA2/TUBB3/NUP93/HNRNPA2B1/TUBB/ALYREF/NUP37/TUBA1C/NDC1/TUBB2A/TUBB4B/TUBA1B
hsa05020	Prion disease	233	-0.54321082319676	-2.17553340126433	6.84307202626798e-13	4.92701185891294e-11	3.47195864911702e-11	3808	tags=56%, list=21%, signal=45%	SDHC/NDUFC2/SDHA/VDAC2/NDUFA11/KLC2/NDUFV3/VDAC3/SDHD/PRNP/HSPA1B/NDUFS2/PPP3R1/UQCRHL/ATP5PO/NDUFV1/RAC1/COX6A1/NDUFB4/FYN/COX7A2L/PSMA6/CYC1/NDUFA8/NDUFA7/RAC2/PSMD3/PSMA1/COX7C/CREB3L4/ATP5PB/UQCRC1/UQCRC2/NDUFC1/PIK3CB/NDUFS1/ADRM1/PSMB2/SLC25A4/NDUFA6/PSMB7/PSMC5/COX4I1/ATP5PF/NDUFB7/PSMD11/NDUFA2/NDUFB8/PSMD4/SOD1/NDUFS3/CASP3/CYBA/TUBA4A/NDUFA9/PSMB5/PSMC4/SEM1/UQCRFS1/COX7B/NDUFA5/UQCR10/COX8A/TUBB2B/ATP5F1B/CAV2/PSMD9/NDUFB10/COX5B/ITPR1/KIF5B/UQCRH/ATP5MC1/PSMB6/NDUFB1/ATP5F1C/NDUFA1/NDUFB2/PSMD8/PSMD1/NDUFB5/PSMD2/NDUFV2/KIF5C/PPIF/SDHB/HSPA1A/PSMC1/ATP5MC3/PSMB3/PSMD7/PSMB1/ATP5PD/SLC25A5/PSMA5/VDAC1/NDUFS5/NDUFS6/PSMD13/NDUFA12/NDUFB9/COX6C/TUBA1A/UQCRQ/PSMA2/PSMA3/PSMA4/PSMC6/NDUFAB1/PSMC3/PSMD6/PSMC2/PSMA7/STIP1/HSPA5/COX7A2/NDUFB3/PSMD12/EIF2S1/NDUFB6/CYCS/PSMD14/TUBB6/TUBB3/HSPA8/EGR1/TUBB/TUBA1C/TUBB2A/TUBB4B/TUBA1B
hsa03030	DNA replication	36	-0.858647550979124	-2.53289635230772	9.00219426204499e-13	5.401316557227e-11	3.80619090728569e-11	1855	tags=78%, list=10%, signal=70%	RPA2/DNA2/POLE4/RPA1/POLE/POLD1/SSBP1/LIG1/POLE3/RPA3/RFC5/PRIM2/POLA2/PCNA/POLA1/MCM7/RFC4/MCM6/MCM3/POLE2/RFC2/PRIM1/MCM4/RNASEH2A/FEN1/RFC3/MCM2/MCM5
hsa00190	Oxidative phosphorylation	111	-0.644533213315473	-2.3520982724712	2.62022245014731e-12	1.34754297436147e-10	9.49584376669926e-11	4268	tags=68%, list=23%, signal=52%	ATP5MF/NDUFB11/ATP5F1A/NDUFA13/COX6B1/SDHC/ATP6V1B2/NDUFC2/SDHA/NDUFA11/NDUFV3/SDHD/NDUFS2/UQCRHL/ATP5PO/NDUFV1/COX6A1/NDUFB4/COX7A2L/CYC1/NDUFA8/NDUFA7/PPA2/COX7C/ATP5PB/UQCRC1/UQCRC2/NDUFC1/NDUFS1/NDUFA6/ATP6V0B/ATP6V1F/COX4I1/ATP5ME/ATP5PF/NDUFB7/NDUFA2/NDUFB8/NDUFS3/NDUFA9/UQCRFS1/COX7B/NDUFA5/UQCR10/COX8A/ATP6V1D/ATP5F1B/ATP6V1C2/NDUFB10/COX5B/UQCRH/ATP5MC1/ATP5MG/NDUFB1/ATP5F1C/NDUFA1/NDUFB2/NDUFB5/NDUFV2/SDHB/ATP5MC3/ATP5PD/NDUFS5/NDUFS6/NDUFA12/NDUFB9/COX6C/UQCRQ/NDUFAB1/ATP6V1E1/COX7A2/NDUFB3/NDUFB6/COX17/CYCS
hsa03013	Nucleocytoplasmic transport	102	-0.651498392077469	-2.35678780563954	9.21378274591332e-12	4.14620223566099e-10	2.92173900232251e-10	4664	tags=67%, list=25%, signal=50%	TNPO1/THOC1/THOC5/IPO9/PNN/GLE1/NCBP2/SUMO3/UBE2I/THOC6/XPO6/XPO5/NUP43/NUP153/RAE1/NUP133/SUMO4/IPO8/IPO5/TMEM33/TNPO3/SENP2/PHAX/XPO4/AAAS/DDX19A/SAP18/IPO4/SEC13/KPNA1/NCBP1/NUP160/XPO1/NMD3/NUP54/NUP188/UPF3B/NUP85/IPO7/NUP155/RANGAP1/KPNB1/PYM1/EIF4A3/THOC7/NXT1/RBM8A/SEH1L/KPNA3/SUMO2/SUMO1/IPO11/NUP50/THOC3/NUP58/RAN/NUP35/MAGOH/NUP107/MAGOHB/NUP205/NUP88/NUP93/CSE1L/ALYREF/NUP37/NDC1/KPNA2
hsa04114	Oocyte meiosis	115	-0.620075344911339	-2.2791747018391	4.5888665985764e-11	1.83554663943056e-09	1.29347000030048e-09	2765	tags=42%, list=15%, signal=36%	RBX1/CUL1/PPP2R1B/CALM3/CAMK2A/ANAPC1/ADCY1/PPP2R5D/YWHAG/YWHAQ/ANAPC7/PPP1CC/SKP1/MAP2K1/REC8/CALM2/CDC27/CALM1/ITPR1/ANAPC11/PPP2CA/MAD2L2/PPP1CA/ANAPC15/YWHAZ/YWHAE/STAG3/FBXO43/SMC1A/FBXO5/RPS6KA1/YWHAH/RPS6KA6/CDK2/CDC25C/ESPL1/PTTG1/SGO1/PLK1/CCNE2/PKMYT1/CCNB2/AURKA/BUB1/CCNB1/CDC20/MAD2L1/CDK1
hsa03050	Proteasome	45	-0.786635205249045	-2.40483322646071	9.4821257466812e-11	3.41356526880523e-09	2.40546558415807e-09	3109	tags=80%, list=17%, signal=67%	PSMA6/PSMD3/PSMA1/ADRM1/PSMB2/PSMB7/PSMC5/PSMD11/PSMD4/PSME2/PSMB5/PSMC4/SEM1/PSMD9/PSMB6/PSMD8/PSMD1/PSMD2/POMP/PSME3/PSMC1/PSMB3/PSMD7/PSMB1/PSMA5/PSMD13/PSMA2/PSMA3/PSMA4/PSMC6/PSMC3/PSMD6/PSMC2/PSMA7/PSMD12/PSMD14
