ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0007059	chromosome segregation	407	0.557200113321926	2.30030387759663	3.17150566913768e-20	2.6282267480144e-16	2.257444351022e-16	2716	tags=32%, list=14%, signal=28%	CENPF/KIFC1/KIF2C/FAM83D/CCNB1/TTK/KIF14/ASPM/KIF4A/PLK1/CDC20/DLGAP5/CDCA8/SPAG5/CCNB2/NUSAP1/AURKB/OIP5/BUB1B/TOP2A/MKI67/KNL1/PTTG1/UBE2C/TPX2/KIF18B/SKA3/BIRC5/PRC1/NUF2/NCAPH/BUB1/CENPE/SGO2/STARD9/HJURP/UHRF1/NDC80/CDCA2/AURKA/TACC3/GPSM2/MYBL2/SPC24/RACGAP1/KIF11/CENPK/NEK2/BRCA1/KIF15/CENPP/KIF18A/NCAPG2/CENPM/TRIP13/ECT2/SMC4/NCAPG/CENPN/INCENP/KIF23/SPC25/CENPO/NCAPD2/CDK1/STIL/FANCD2/CHMP3/HECW2/NEK6/SMC2/CENPH/KIF22/ESPL1/CENPU/SGO1/DPF3/EHMT2/XRCC3/MAD2L1/REC8/SKA1/HASPIN/RCC1/KNTC1/CDT1/SMARCD1/KNSTRN/DPF1/CDK5RAP2/PSMC3IP/DIS3L2/MLH3/PSRC1/AKAP8/ZWINT/AKAP8L/CHEK2/ITGB3BP/TUBG2/ZWILCH/CENPW/CENPX/BUB3/TOP3B/TLK1/TUBGCP3/NUP43/BOD1/NCAPD3/FBXO5/RRS1/DSN1/ESCO2/CENPQ/HAUS1/ANAPC1/FBXO30/CEP85/AURKC/SLC25A5/CDC6/CENPS/SMARCD2/PBRM1/CCDC86/CENPC/MIS18A/SRPK1/HAUS2/ANAPC15
GO:0098813	nuclear chromosome segregation	302	0.58660018931968	2.32200855539574	1.56736676455886e-18	6.49438418894965e-15	5.57817582207738e-15	1657	tags=28%, list=8%, signal=27%	CENPF/KIFC1/KIF2C/FAM83D/CCNB1/TTK/KIF14/ASPM/KIF4A/PLK1/CDC20/DLGAP5/CDCA8/SPAG5/CCNB2/NUSAP1/AURKB/BUB1B/TOP2A/KNL1/PTTG1/UBE2C/TPX2/KIF18B/SKA3/BIRC5/PRC1/NUF2/NCAPH/BUB1/CENPE/UHRF1/NDC80/AURKA/TACC3/MYBL2/SPC24/RACGAP1/KIF11/CENPK/NEK2/KIF15/KIF18A/NCAPG2/TRIP13/ECT2/SMC4/NCAPG/INCENP/KIF23/SPC25/NCAPD2/CDK1/FANCD2/CHMP3/HECW2/NEK6/SMC2/KIF22/ESPL1/SGO1/DPF3/EHMT2/XRCC3/MAD2L1/REC8/SKA1/HASPIN/RCC1/KNTC1/CDT1/SMARCD1/KNSTRN/DPF1/CDK5RAP2/PSMC3IP/DIS3L2/MLH3/PSRC1/AKAP8/ZWINT/AKAP8L/CHEK2/TUBG2/ZWILCH/BUB3
GO:0000819	sister chromatid segregation	228	0.624673729777055	2.42207764585897	3.31899323921261e-17	9.16816565778497e-14	7.87474816966866e-14	1888	tags=34%, list=9%, signal=31%	CENPF/KIFC1/KIF2C/CCNB1/TTK/KIF14/KIF4A/PLK1/CDC20/DLGAP5/CDCA8/SPAG5/NUSAP1/AURKB/BUB1B/TOP2A/KNL1/UBE2C/TPX2/KIF18B/SKA3/BIRC5/PRC1/NUF2/NCAPH/BUB1/CENPE/UHRF1/NDC80/TACC3/MYBL2/SPC24/RACGAP1/KIF11/CENPK/NEK2/KIF15/KIF18A/NCAPG2/TRIP13/SMC4/NCAPG/INCENP/KIF23/SPC25/NCAPD2/CDK1/CHMP3/HECW2/NEK6/SMC2/KIF22/ESPL1/DPF3/XRCC3/MAD2L1/SKA1/HASPIN/RCC1/KNTC1/CDT1/SMARCD1/KNSTRN/DPF1/CDK5RAP2/DIS3L2/PSRC1/AKAP8/ZWINT/AKAP8L/CHEK2/TUBG2/ZWILCH/BUB3/BOD1/NCAPD3/FBXO5
GO:0000280	nuclear division	412	0.512587394959611	2.11891481014473	2.39356161202028e-15	3.96708901576242e-12	3.4074239201013e-12	1896	tags=26%, list=9%, signal=24%	CDC25B/CENPF/KIFC1/KIF2C/CCNB1/TTK/KIF14/ASPM/KIF4A/PLK1/CDC20/DLGAP5/CDCA8/SPAG5/CCNB2/NUSAP1/AURKB/BUB1B/TOP2A/MKI67/KNL1/PTTG1/UBE2C/TPX2/KIF18B/SKA3/BIRC5/RAD54L/PRC1/NUF2/NCAPH/BUB1/CENPE/ANLN/UHRF1/NDC80/CDCA2/AURKA/MTBP/MYBL2/SPC24/KIF20B/RACGAP1/KIF11/CENPK/NEK2/CKS2/KIF15/KIF18A/NCAPG2/TRIP13/SMC4/NCAPG/INCENP/MYBL1/KIF23/SPC25/BRCA2/NCAPD2/CDK1/FANCD2/CDC25C/CHMP3/EPGN/SMC2/KIF22/EME2/ESPL1/SGO1/EHMT2/XRCC3/MAD2L1/REC8/SKA1/HASPIN/RAD51/RCC1/KNTC1/CDT1/FANCA/KNSTRN/RAD54B/CDK5RAP2/PSMC3IP/DIS3L2/MLH3/RAD51AP1/PSRC1/MSX2/CUL9/AKAP8/ZWINT/AKAP8L/CHEK2/TUBG2/MASTL/ZWILCH/CENPX/BUB3/TOM1L1/FIGNL1/RAD51D/BOD1/NCAPD3/FBXO5/ANKLE1
GO:0006310	DNA recombination	313	0.53909216550657	2.15310825908493	5.72016431552228e-14	6.77185738324759e-11	5.81650392504686e-11	3618	tags=42%, list=18%, signal=35%	NFKBIZ/PLK1/POLQ/TOP2A/RAD54L/REV3L/UHRF1/KMT5C/MCM5/PARPBP/ZGRF1/MCM7/APLF/BRCA1/GINS2/TIMELESS/RAG1/FEN1/TRIP13/TFRC/HMGB2/MSH2/BRCA2/NHEJ1/HELLS/SFR1/FANCD2/NSD2/UNG/ATAD5/PIF1/GINS4/EME2/WRAP53/TONSL/RECQL4/CDC7/MCM4/XRCC3/REC8/RAD51/BLM/MRGBP/NABP1/KPNA2/RAD54B/EID3/SAMHD1/PSMC3IP/MLH3/RAD51AP1/XRCC2/MCM8/FUS/NFRKB/EPC1/TCF3/BRD8/LIG1/EP400/KDM1A/PRMT1/CENPX/TOP3B/PAXIP1/FIGNL1/RAD51D/APEX1/XRCC1/ANKLE1/C1QBP/ACTR5/SHLD1/TERF2/MMS22L/ABL1/RHNO1/EME1/SUPV3L1/FANCM/NSMCE4A/TOPBP1/EXO1/CDC45/PARP1/RTEL1/SLX4/MCM2/PMS2/MDC1/NUCKS1/CENPS/ZSWIM7/PRKDC/RAD51B/SLF1/MBTD1/ZFYVE26/RUVBL2/INO80B/HMGB3/RIF1/ERCC6/GEN1/MAGEF1/ANKRD31/CHEK1/ACTR8/ZMYND8/DCLRE1C/WRN/RPA3/MCM6/MSH4/RNF138/INO80D/HUS1/RPA1/MCM3/KLHL15/TRRAP/SMARCAD1/PAGR1/DMC1/VPS72/EXOSC3/MSH6/INIP/STAT6/SETD2
GO:0051983	regulation of chromosome segregation	127	0.678228660052698	2.39833080901806	4.52939421338531e-13	3.75350898463241e-10	3.22397512325384e-10	1888	tags=37%, list=9%, signal=34%	CENPF/KIF2C/CCNB1/TTK/PLK1/CDC20/DLGAP5/CDCA8/AURKB/BUB1B/KNL1/UBE2C/SKA3/BIRC5/NUF2/NCAPH/BUB1/CENPE/NDC80/TACC3/SPC24/NCAPG2/TRIP13/SMC4/NCAPG/INCENP/SPC25/NCAPD2/CDK1/HECW2/NEK6/SMC2/ESPL1/DPF3/XRCC3/MAD2L1/SKA1/HASPIN/KNTC1/SMARCD1/DPF1/CDK5RAP2/ZWINT/ZWILCH/BUB3/NCAPD3/FBXO5
GO:0033044	regulation of chromosome organization	233	0.572350816281062	2.21526805923081	8.22027983391416e-13	6.19285990760424e-10	5.31918968774426e-10	3129	tags=37%, list=16%, signal=32%	CENPF/CCNB1/TTK/PLK1/CDC20/DLGAP5/CDCA8/AURKB/BUB1B/KNL1/UBE2C/SKA3/BIRC5/NUF2/NCAPH/BUB1/CENPE/NDC80/TACC3/SPC24/NEK2/MYC/NCAPG2/FEN1/TP53/TRIP13/SMC4/NCAPG/INCENP/SPC25/NCAPD2/CDK1/HECW2/NEK6/SMC2/PIF1/ESPL1/WRAP53/DPF3/XRCC3/MAD2L1/SKA1/HASPIN/KNTC1/SMARCD1/DPF1/CDK5RAP2/EID3/HNRNPA1/NFRKB/DKC1/ZWINT/MAP2K7/ZWILCH/BUB3/NAF1/HNRNPD/NCAPD3/FBXO5/XRCC1/ACTR5/HNRNPA2B1/TERF2/PML/TENT4B/PNKP/NSMCE4A/PARP1/RTEL1/SLX4/ANAPC1/CDC6/SMARCD2/STN1/PBRM1/SLF1/NAT10/ANAPC15/RUVBL2/INO80B/CTC1/GEN1/ACTR8/HNRNPC/SMARCC2/DDX11/SMARCB1
GO:1905818	regulation of chromosome separation	74	0.765148167590365	2.54537159971521	3.84321815956715e-12	2.449903760641e-09	2.10427863927069e-09	1888	tags=51%, list=9%, signal=47%	CENPF/CCNB1/TTK/PLK1/CDC20/DLGAP5/CDCA8/AURKB/BUB1B/KNL1/UBE2C/SKA3/BIRC5/NUF2/NCAPH/BUB1/NDC80/SPC24/NCAPG2/TRIP13/SMC4/NCAPG/INCENP/SPC25/NCAPD2/SMC2/ESPL1/XRCC3/MAD2L1/SKA1/HASPIN/KNTC1/CDK5RAP2/ZWINT/ZWILCH/BUB3/NCAPD3/FBXO5
GO:1901987	regulation of cell cycle phase transition	422	0.475000450514584	1.97023478443078	4.8003112851861e-12	2.84144140145266e-09	2.44057931657356e-09	2926	tags=32%, list=15%, signal=28%	CCL2/CDC25B/CENPF/FAM83D/CCNB1/TTK/KIF14/PLK1/CDC20/DLGAP5/CDCA8/AURKB/BUB1B/KNL1/PSME2/UBE2C/SKA3/BIRC5/DBF4/NUF2/BUB1/CENPE/RRM2/ANLN/NDC80/FAM107A/AURKA/MTBP/SPC24/E2F7/BCL2/DNA2/DTX3L/BRCA1/ORC1/TIMELESS/SLFN11/ZFP36L1/TP53/FOXO4/TRIP13/MSH2/ADAM17/INCENP/SPC25/BRCA2/TICRR/TCIM/CDK1/STIL/FANCD2/CDC25C/DBF4B/HECW2/MIR221/NEK6/ATAD5/CACNB4/WDR76/EME2/ESPL1/CDC7/DPF3/XRCC3/ADAMTS1/MAD2L1/SKA1/PARP9/HASPIN/RAD51/DTL/UIMC1/KNTC1/BLM/CDT1/NABP1/TP63/SMARCD1/CDC25A/DPF1/CDK5RAP2/TBX2/PKIA/RNASEH2B/TCF3/ZWINT/CLSPN/E2F1/CHEK2/BTN2A2/EGFR/ZWILCH/BUB3/PAF1/RRM1/CDK10/FBXO31/PAXIP1/ZNF16/FBXO5/ZNF830/MEPCE/RHNO1/TMSB4X/USP28/EME1/EZH2/TOPBP1/CDC45/RBL1/MDM2/APBB2/DCUN1D3/CDKN2A/MDC1/CDC6/SMARCD2/GPR132/FOXN3/PBRM1/CDK4/TFAP4/MN1/PRKDC/RAD51B/WEE1/GPNMB/ANAPC15/CTC1/ERCC6/GEN1/HINFP/PSME1/CUL4A/CHEK1
GO:0044772	mitotic cell cycle phase transition	418	0.473269468492669	1.96484463555703	1.50111876194056e-11	8.29318078680095e-09	7.1232035566611e-09	3129	tags=32%, list=16%, signal=28%	CCL2/CDC25B/CENPF/CCNB1/TTK/KIF14/PLK1/CDC20/FOXM1/IQGAP3/DLGAP5/CDCA8/CCNB2/AURKB/BUB1B/KNL1/PSME2/UBE2C/CDKN3/SKA3/BIRC5/DBF4/NUF2/BUB1/CENPE/RRM2/ANLN/NDC80/FAM107A/AURKA/MTBP/TACC3/MELK/SPC24/E2F7/BCL2/CCNF/BRCA1/CKS2/ORC1/MYC/SLFN11/ZFP36L1/TP53/FOXO4/TRIP13/ADAM17/INCENP/SPC25/RHOU/TICRR/CDK1/STIL/CDC25C/DBF4B/HECW2/MIR221/NEK6/ATAD5/CACNB4/CCDC57/BCAT1/ESPL1/CDC7/DPF3/XRCC3/ADAMTS1/MAD2L1/SKA1/HASPIN/DTL/RCC1/UIMC1/KNTC1/BLM/NABP1/SMARCD1/CDC25A/DPF1/CDK5RAP2/PKIA/RNASEH2B/TCF3/ZWINT/CLSPN/E2F1/CHEK2/BTN2A2/EGFR/MASTL/ZWILCH/BUB3/RRM1/CDK10/FBXO31/CCNG1/FBXO5/USP37/ZNF830/MEPCE/EZH2/PHF8/TOPBP1/RBL1/MDM2/ANAPC1/CCNA2/DCUN1D3/CDKN2A/CDC6/SMARCD2/GPR132/FOXN3/PBRM1/CDK4/TFAP4/PRKDC/RAD51B/CCNJL/WEE1/GPNMB/ANAPC15/CTC1/GEN1/HINFP/PSME1/CUL4A/CHEK1/ENSA/MYO16/SMARCC2/FZR1/NFIB/SMARCB1
