ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04519	Cadherin signaling	350	-0.581955025256213	-2.14325100646611	5.59575791925967e-15	2.02006860885274e-12	1.4843484164773e-12	1925	tags=31%, list=10%, signal=28%	ROCK1/AJUBA/MAP2K1/ACTR3/DVL3/PSENEN/MAPK3/ACTR3B/PCDHGA5/KRT81/MAPK8/IGF1R/WNT2B/FZD6/WNT2/PCDHGA3/DCHS1/KRT34/TCF7L1/YAP1/SHOC2/ACTR2/YWHAZ/LRP5/TMC7/PRICKLE1/CDH3/PCDH18/WNT8B/TEAD1/KRAS/CTNNB1/CDH11/CDH2/TJP1/PKP3/MYO1B/FZD4/FZD8/GABRE/PCDHGA4/LIMA1/AMOTL2/WNT9A/PDGFRB/ERBB2/ARPC4/TCF7L2/MAPK13/SCN5A/RRAS/CTNNA1/VASP/YWHAH/DSC3/KRT4/VCL/MYO1E/ENAH/ARPC5/FMN1/MYO1C/KRT14/TMC6/FZD7/DSP/ANKRD6/PCDH10/CELSR1/MET/ACTN1/DSG3/VAV3/DSC2/WNT7B/MAP2K3/ACTG1/CELSR2/LATS2/GABRA5/GJA1/KRT86/ACTB/PCDH7/WTIP/ACTN4/JUP/TMC5/MRAS/CDH1/FZD1/TMC4/PCDH1/WNT4/KRT8/KRT17/KRT23/KRT80/FZD5/DSG2/KRT7/KRT24/KRT15/KRT78/KRT19/KRT18/GABRP/KRT13
hsa04382	Cornified envelope formation	154	-0.69769488121058	-2.35918689168073	1.75233344435421e-14	3.16296186705935e-12	2.3241475156698e-12	1490	tags=29%, list=8%, signal=27%	PPP2R1A/TJP1/ITGB4/COL4A3/PKP3/PPP2R2C/COL4A2/ABCA12/SPTLC2/S100A14/EPHX3/KRT4/COL4A1/FLG/KRT14/OCLN/DSP/KAZN/DSG3/KRT86/PADI1/SPRR1B/JUP/IVL/KRT8/SPRR3/KRT17/KRT23/KRT80/DSG2/KRT7/PADI2/ST14/CLDN4/KRT24/EVPL/KRT15/KRT78/CLDN7/KRT19/S100A8/KRT18/S100A9/KRT13/PRSS8
hsa04061	Viral protein interaction with cytokine and cytokine receptor	64	0.784951244725831	2.53200529096872	1.07764080688332e-12	1.29676110428293e-10	9.52861345033674e-11	1165	tags=33%, list=6%, signal=31%	CXCL6/CXCL1/CXCL8/CXCL5/CCL2/IL6/CXCL3/CXCL2/ACKR4/CCL13/TNFRSF1B/CX3CL1/PF4V1/CCL7/TNFSF14/TNFRSF14/CSF1/CCL28/TNFRSF10A/IL6ST/CXCL12
hsa04820	Cytoskeleton in muscle cells	213	-0.60609012251995	-2.11779037405391	8.8778223814587e-11	8.01223469926648e-09	5.88739800033577e-09	1686	tags=30%, list=9%, signal=27%	ITGB7/ITGB5/MYH10/ITGA3/TLN1/ITGB4/COL4A3/PDLIM2/DMD/SGCD/COMP/LDB3/TPM4/COL4A2/SNTB1/INF2/PDLIM4/FLNC/THBS1/ZYX/COL4A1/VCL/NID2/SSPN/DSP/FHL2/COL11A1/FMN2/MYH9/PDLIM7/DSC2/SDC2/TPM2/MYH11/SGCG/ACTG1/CSRP2/ACTB/SYNPO2/MYL9/CSRP1/JUP/ITGA8/PDLIM5/SDC1/TPM1/PDLIM3/FHL1/ANK3/MYOM1/ITGA1/LMOD1/ELN/ANKRD1/NEBL/ACTG2/DSG2/MYH1/SPTBN2/ITGB8/MYH2/MYH14/ACTC1
hsa04668	TNF signaling pathway	112	0.653008289235556	2.27891898011241	2.02612374326699e-10	1.46286134263877e-08	1.07491196484902e-08	1442	tags=29%, list=8%, signal=27%	CXCL6/CXCL1/TNFAIP3/CXCL5/CCL2/IL6/BIRC3/CXCL3/CXCL2/ICAM1/NFKBIA/BCL3/TNFRSF1B/CX3CL1/SOCS3/TRAF3/TRAF2/MAP3K8/ADAM17/CSF1/IRF1/IL15/NFKB1/MLKL/PIK3CD/MMP14/PIK3R1/CASP8/CYLD/MAP2K6/CFLAR/MAP2K7
hsa05168	Herpes simplex virus 1 infection	156	0.59403303693707	2.19379812522293	4.20285525512231e-10	2.52871791183192e-08	1.85810442858039e-08	2201	tags=26%, list=12%, signal=23%	C3/CCL2/IL6/BIRC3/POU2F2/NFKBIA/SOCS3/TRAF3/OAS3/TRAF2/TNFSF14/BCL2/IFIH1/TNFRSF14/JAK2/TP53/IFNGR1/TAP2/NFKB1/ITGB3/TLR2/TAPBP/STAT1/PIK3CD/IKBKE/PIK3R1/CASP8/C5/ALYREF/TLR3/IRF9/HLA-DPB1/OAS2/TSC1/PML/TNFRSF1A/FADD/IRAK4/SP100/TAB1/DAXX
hsa04060	Cytokine-cytokine receptor interaction	209	0.531850065162134	2.02803019608383	5.21617478232899e-09	2.69005585202966e-07	1.97665570698783e-07	1398	tags=18%, list=7%, signal=17%	CXCL6/CXCL1/CXCL8/CXCL5/CCL2/IL6/GDF5/CXCL3/CXCL2/IL32/ACKR4/CCL13/TNFRSF1B/CX3CL1/IL16/PF4V1/IL1R1/LIFR/CCL7/TNFSF14/GDF6/CD70/TNFRSF14/IFNGR1/TNFRSF19/CSF1/IL33/IL15/EDA2R/BMP2/CCL28/TNFRSF10A/OSMR/IL6ST/CXCL12/GDF11/IL34/INHBE
hsa04062	Chemokine signaling pathway	152	0.570670539835323	2.08770049304538	9.36636672666541e-09	4.22657298540777e-07	3.10569001989432e-07	1183	tags=16%, list=6%, signal=16%	CXCL6/CXCL1/CXCL8/CXCL5/CCL2/CXCL3/CXCL2/CCL13/NFKBIA/GNG2/CX3CL1/PF4V1/CCL7/DOCK2/JAK2/NFKB1/TIAM1/CCL28/PREX1/SHC3/ADCY1/STAT1/PIK3CD/CXCL12/PIK3R1
hsa04064	NF-kappa B signaling pathway	95	0.628499438154192	2.16033080772659	1.84451362235338e-08	7.15956461269265e-07	5.26085517538576e-07	805	tags=20%, list=4%, signal=19%	CXCL1/CXCL8/TNFAIP3/BIRC3/RELB/CXCL3/CXCL2/ICAM1/CCL13/NFKBIA/TRAF3/IL1R1/TRAF2/TNFSF14/BCL2/NFKB2/EDA2R/NFKB1/PLAU
hsa05171	Coronavirus disease	190	0.533298151039389	2.01815553273473	1.98325889548273e-08	7.15956461269265e-07	5.26085517538576e-07	1976	tags=22%, list=11%, signal=20%	CXCL8/C3/CCL2/IL6/NFKBIA/MX1/TRAF3/NRP1/OAS3/C1S/C1R/IFIH1/AGTR1/PRKCA/ADAM17/ACE/CFB/MX2/NFKB1/RPL17/TLR2/IL6ST/STAT1/PIK3CD/IKBKE/PIK3R1/C2/C9/C5/TLR3/RPL41/EGFR/RPL22L1/MMP1/IRF9/NFKBIB/MAPK12/RPS10/OAS2/IL6R/TNFRSF1A
