gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3	4563.5991273736	2.4887594696606	0.0560616496448453	44.3048096268576	0	0
CXCL6	3174.81882392724	2.07781905162477	0.0458488212535661	45.2294514415622	0	0
SOD2	9099.78712327582	3.05721466282668	0.0802992885434022	38.0115570442793	3.71835890017148e-316	1.66247826426667e-312
CXCL1	971.10376001991	2.46661627679666	0.0753280706402784	32.3795535790852	5.32576490776532e-230	1.78586211769641e-226
CFB	774.832693281098	2.65683081644308	0.0836002868251261	31.2085704432227	8.15203137040752e-214	2.18686393542552e-210
NAMPT	3393.20504926404	1.08064524235462	0.0429580147559227	25.1462846153109	1.55183205712453e-139	3.46912056370188e-136
SLC39A8	428.149339799802	2.38198673332616	0.0957191920895474	24.2701474022836	4.05238520540699e-130	7.76494896573199e-127
MYH10	6514.00298891175	-0.939896393414132	0.0402472072679697	-23.3503738296777	1.36615756111993e-120	2.29053392091271e-117
LMO7	14676.4080582882	-0.761332274453568	0.0328682479600369	-23.1624336129972	1.08947630328773e-118	1.62368285066648e-115
ADH1B	3172.3608107273	1.12211508272112	0.0484811762921836	23.135570717771	2.03135384223191e-118	2.72465490858566e-115
PTGFR	2188.85673607133	1.26594012672272	0.0547398699604661	23.1073139430503	3.90890564321298e-118	4.76637739931052e-115
COL8A2	3110.69083011562	-1.0377365657387	0.0451786862440247	-22.9622027719285	1.11289439066171e-116	1.24393770516212e-113
TNFAIP2	897.630655897621	1.60645167083455	0.0711730144612081	22.4862721005311	5.65561887496678e-112	5.83529353614841e-109
FTH1	98627.7226355756	0.661951843615524	0.0304836917419428	21.7148702130623	1.48461761635076e-104	1.42236972057948e-101
CCL2	1310.64514902854	1.24258822818754	0.0608053355752792	20.4074118552282	1.43694997831257e-92	1.2849206706071e-89
SPCS3	4340.0481700951	-0.898463433510464	0.0462017553861911	-19.4433950305962	3.31486189003316e-84	2.77889015818843e-81
MRVI1	1492.46131507529	-1.06814435609373	0.0559722438478675	-19.0689083833246	4.57761031037743e-81	3.6117345348878e-78
C1S	6982.2858945451	0.75324999372308	0.0399690784557564	18.8443294731471	3.27083668496916e-79	2.43731846974952e-76
SEMA3C	3825.65068840198	0.805743883433335	0.0431263703196371	18.680037536226	7.19685221231857e-78	5.08059888020153e-75
ACAN	3181.9240467888	-1.89891554156983	0.101655678760085	-18.6626744111923	9.96183707493677e-78	6.68090603430635e-75
NPR3	6272.91921534279	-0.72369977362843	0.0396047477886369	-18.2717600928727	1.38897656533717e-74	8.87159174803212e-72
C1R	7123.59357341455	0.787624993087239	0.0432031757129534	18.2292265383972	3.02569948381967e-74	1.84471396256697e-71
ADARB1	8944.42544827621	-0.604897897314912	0.03320082749681	-18.2187656813639	3.66325291284109e-74	2.13631353564946e-71
MYL9	6822.14388203478	-0.721652317972187	0.039799681207971	-18.1309584541628	1.81566739935313e-73	1.01473111781348e-70
CTGF	23572.966672579	-0.666099349768519	0.0368788451848099	-18.0615739001626	6.39723330156329e-73	3.43224361095473e-70
SLC43A2	427.447631680754	1.56664657901987	0.0883413870519412	17.5934355105436	2.76589052575987e-69	1.42688037007758e-66
SLC39A14	3734.35045479606	0.698790203706123	0.0398760611940965	17.5216793488118	9.78926527233683e-69	4.86308944806866e-66
TNFAIP3	421.552077474012	1.69190402415228	0.0960036726649269	17.4617092839447	2.80410886207456e-68	1.34326829167879e-65
TNFAIP6	160.14815475901	3.00398006383921	0.143501244435538	17.4504682376445	3.41422421263336e-68	1.57913756427763e-65
CRIM1	8917.37073860944	-0.565096818445194	0.0327935946132832	-17.231432639739	1.54282352064773e-66	6.89796396081602e-64
ITGA3	5007.48077556934	-0.609752038748889	0.0358096397958001	-17.0265114805317	5.22263089369241e-65	2.25971445732569e-62
CDC25B	2197.57004630812	0.776195315485896	0.045696557199106	16.9805534901989	1.14402052650594e-64	4.79523353813257e-62
SUSD2	2423.45645051415	-0.93837297947829	0.0565116273007516	-16.5997701948992	6.99582523574513e-62	2.84348496627423e-59
LMCD1	1476.78930574005	-0.915168586049419	0.0558477018082138	-16.3779232282217	2.74972629351337e-60	1.08476702279102e-57
COL6A3	117712.375667458	0.496910244020708	0.0310250226604251	16.0164079606688	9.81593803514304e-58	3.76174791043925e-55
HSPB6	4335.0972674421	-0.613065442421272	0.0391316946662204	-15.6655611407685	2.6012366638906e-55	9.69177427021241e-53
HAPLN3	575.68369870034	-1.26482454147203	0.0812623450079409	-15.5174543346467	2.64331276581582e-54	9.58236598051016e-52
CA12	2218.31400152087	0.678260094289561	0.044651996756053	15.1863554679086	4.35467472574779e-52	1.53708558148566e-49
SAMD11	630.660758520764	-1.20437236878601	0.0796394712892174	-15.0861746870086	1.99688754440819e-51	6.86775708542232e-49
S1PR3	2807.8193698277	0.670813477088069	0.0445422169566436	15.0576210622417	3.07660042060302e-51	1.03166103603871e-48
CEMIP	32984.1329340475	-0.575884305329564	0.0388259291210562	-14.8323630604278	9.0490509796373e-50	2.8898790664256e-47
LMOD1	1617.52843545506	-0.801123699561835	0.0539880592811783	-14.8336263336631	8.88031787949767e-50	2.8898790664256e-47
DDAH1	3888.28105055282	-0.632175413380511	0.0426814305986988	-14.8101187952772	1.26017409464078e-49	3.93086398405043e-47
AKR1C2	1294.33730606884	1.04572365024013	0.0706847860969782	14.7814691679059	1.92911799912994e-49	5.88074084598405e-47
SQSTM1	10891.8248608268	0.615587554553616	0.042234166751542	14.5751753566097	4.04083702773737e-48	1.20443882340092e-45
SLC7A11	7270.20923808991	0.591497486197062	0.0406173350907107	14.5619719656012	4.90229948219113e-48	1.42944658597021e-45
CYR61	9977.23500839748	-0.647669736613879	0.0447249233857311	-14.4808102946181	1.60197458373435e-47	4.57176278545295e-45
A2M	2116.11439295341	-0.844759024682531	0.0589763302056026	-14.3193264770004	1.65721499280677e-46	4.63088014552443e-44
ANKRD1	883.062779081783	-0.983146077944833	0.0685957424431377	-14.3162785067851	1.73150256385569e-46	4.73972324265231e-44
FHL1	22423.9528033433	-0.468002267217665	0.0328430242156308	-14.2495830860449	4.50965450920472e-46	1.20975991863926e-43
AKR1C3	2074.94490603383	0.754491304041434	0.0536667010210435	14.0548370279392	7.19473493222219e-45	1.89221528717444e-42
STEAP2	761.965496340477	0.99017614004661	0.0706120565879556	14.001061498719	1.5355985739839e-44	3.96095839862423e-42
MCAM	939.553934521966	-0.964812941597287	0.0692309594602901	-13.9224344805426	4.62865409211864e-44	1.17139881769033e-41
MYADM	3545.70993869154	-0.58337263583246	0.042661378381127	-13.6733642315697	1.46463946904774e-42	3.63800170339581e-40
LBH	737.989961998702	-1.05091470838282	0.0771705953024077	-13.5983742496977	4.09433600840242e-42	9.98496888740031e-40
AKR1B10	511.284766429991	1.09418976307093	0.0803449431746239	13.5799271736528	5.26787902945183e-42	1.2617510968221e-39
