gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3	4563.5991273736	2.48875946966059	0.056061649644851	44.3048096268528	0	0
CXCL6	3174.81882392724	2.07781905162478	0.0458488212535668	45.2294514415618	0	0
SOD2	9099.78712327582	3.05721466282668	0.0802992885434024	38.0115570442793	3.71835890017148e-316	1.66247826426667e-312
CXCL1	971.10376001991	2.46661627679664	0.075328070640282	32.3795535790835	5.32576490806826e-230	1.78586211779799e-226
CFB	774.832693281098	2.65683081644309	0.083600286825123	31.2085704432241	8.15203137005104e-214	2.18686393532989e-210
SLC39A8	428.149339799802	2.38198673332618	0.0957191920895448	24.2701474022845	4.05238520531983e-130	7.76494896556499e-127
TNFAIP2	897.630655897621	1.60645167083454	0.0711730144612079	22.4862721005312	5.65561887495591e-112	5.8352935361372e-109
ACAN	3181.9240467888	-1.89891554156983	0.101655678760085	-18.6626744111923	9.9618370749381e-78	6.68090603430723e-75
SLC43A2	427.447631680754	1.56664657901986	0.0883413870519446	17.5934355105428	2.76589052580011e-69	1.42688037009834e-66
TNFAIP3	421.552077474012	1.69190402415228	0.0960036726649274	17.4617092839447	2.8041088620763e-68	1.34326829167962e-65
TNFAIP6	160.14815475901	3.00398006383924	0.143501244435537	17.4504682376447	3.41422421262444e-68	1.5791375642735e-65
RIPOR3	208.151022372519	1.51256960987266	0.116425635120404	12.8037284151895	1.56264576974851e-37	2.95207995910377e-35
CXCL3	106.041602735627	1.53508050998375	0.141277480433041	10.5453869522507	5.3352775439011e-26	5.26191747767246e-24
CH25H	75.9988637118923	1.51102757247037	0.156178740747547	9.31555410171055	1.21317630796849e-20	7.9766342248928e-19
