ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0000280	nuclear division	401	-0.605661825985851	-2.4868235595816	3.80668090829818e-30	3.12452368953115e-26	2.63302107878182e-26	2534	tags=40%, list=13%, signal=36%	KIF20B/VPS4A/DMC1/ANAPC15/HSPA1B/SLC2A8/CTDP1/CCDC8/MASTL/CEP85/CDKN1C/RNF212/GEN1/CHAMP1/POLDIP2/ACTR2/CNTD1/NUP62/LRP5/SMC2/RRS1/ANAPC11/TENT4A/CYP26B1/MAD2L2/AAAS/PPP1R9B/PPP2R1A/BORA/MND1/SMC1A/FANCM/KLHDC8B/CCDC86/NUDC/MUS81/REEP4/SMC4/CHMP6/PDGFRB/BRCA2/NDE1/RAD21/CENPK/PHF13/IGF2/MZT1/UBB/NDEL1/SEH1L/PDXP/PLCB1/FBXO5/CCNB2/OBSL1/PDE3A/KIF18A/CHMP1A/EML4/ASPM/PIN1/KIF14/SPDL1/WNT4/MAPRE1/BANF1/RANBP1/CENPF/BUB1B/RAD1/CALR/RIPOR2/FLNA/KNL1/CENPI/CKS2/CDCA2/PTTG1/CDC25C/PSRC1/SGO1/MTBP/DAPK3/KNTC1/NCAPD3/DLGAP5/NCAPH2/NUSAP1/KIF11/PLK1/KIF4A/CHMP3/FANCD2/CCNB1/SKA3/TUBG1/HSPA1A/NDC80/ZWILCH/NEK2/CENPX/CENPE/NUF2/BRIP1/RAD51AP1/RACGAP1/HASPIN/CDT1/KIF15/TPX2/NCAPG/INCENP/CDC20/TOP2A/MAD2L1/ESPL1/PRC1/RAD51/PSMC3IP/TGFB1/KNSTRN/TRIP13/XRCC3/KIF22/TTK/BUB1/MKI67/KIF18B/RAD54L/MYBL1/SPAG5/EME1/NCAPG2/BIRC5/FMN2/NCAPH/KIF23/KIF2C/ANLN/KIFC1/SKA1/UBE2S/SPC24/BMP4/ZWINT/AURKA/CDCA8/RGCC/MYBL2/UHRF1/FANCA/UBE2C/CDK1/HSPA2/AURKB/EDN1/SPC25/CCNE2/PKMYT1/DUSP1/SPHK1
GO:0140014	mitotic nuclear division	267	-0.660969560111968	-2.60387651505879	1.25184678143355e-28	5.1375791910033e-25	4.32941326357888e-25	2534	tags=45%, list=13%, signal=40%	CTDP1/CCDC8/CEP85/CDKN1C/GEN1/CHAMP1/POLDIP2/NUP62/LRP5/SMC2/RRS1/ANAPC11/TENT4A/MAD2L2/AAAS/PPP1R9B/PPP2R1A/BORA/SMC1A/KLHDC8B/CCDC86/NUDC/REEP4/SMC4/CHMP6/PDGFRB/NDE1/RAD21/CENPK/PHF13/IGF2/MZT1/NDEL1/SEH1L/PDXP/FBXO5/OBSL1/KIF18A/CHMP1A/EML4/PIN1/KIF14/SPDL1/MAPRE1/BANF1/RANBP1/CENPF/BUB1B/RIPOR2/FLNA/KNL1/CENPI/CDCA2/CDC25C/PSRC1/MTBP/DAPK3/KNTC1/NCAPD3/DLGAP5/NCAPH2/NUSAP1/KIF11/PLK1/KIF4A/CHMP3/CCNB1/SKA3/TUBG1/HSPA1A/NDC80/ZWILCH/NEK2/CENPE/NUF2/RACGAP1/HASPIN/CDT1/KIF15/TPX2/NCAPG/INCENP/CDC20/MAD2L1/ESPL1/PRC1/TGFB1/KNSTRN/TRIP13/XRCC3/KIF22/TTK/BUB1/MKI67/KIF18B/SPAG5/NCAPG2/BIRC5/NCAPH/KIF23/KIF2C/ANLN/KIFC1/SKA1/UBE2S/SPC24/BMP4/ZWINT/AURKA/CDCA8/RGCC/MYBL2/UHRF1/UBE2C/CDK1/AURKB/EDN1/SPC25/PKMYT1/DUSP1/SPHK1
GO:0007059	chromosome segregation	403	-0.584309655228023	-2.39936646579417	1.05564731456968e-26	2.16618828949699e-23	1.82543644843089e-23	2433	tags=36%, list=13%, signal=32%	ACTL6A/RNF212/LZTS2/BCL7B/GEN1/CHAMP1/POLDIP2/ACTR2/NUP62/SMC2/SMARCA4/RRS1/ANAPC11/TENT4A/CIAO2B/OIP5/MAD2L2/AAAS/ECT2/PPP2R1A/MND1/SMC1A/CENPL/RMI2/KLHDC8B/CCDC86/NUDC/SMC4/CHMP6/DSN1/NDE1/RAD21/RAD18/CENPK/PHF13/MZT1/NDEL1/SEH1L/SMARCD3/FBXO5/CCNB2/KIF18A/CHMP1A/EML4/ASPM/KIF14/SPDL1/MAPRE1/ERCC2/CENPF/CENPM/BUB1B/RIPOR2/CENPO/FLNA/KNL1/CENPI/DPF1/HAUS5/SGO2/CDCA2/PTTG1/BRCA1/PSRC1/SGO1/FAM83D/STIL/KNTC1/CENPN/NCAPD3/DLGAP5/NCAPH2/NUSAP1/KIF11/PLK1/KIF4A/CHMP3/FANCD2/CCNB1/SKA3/HJURP/HAUS8/TUBG1/HSPA1A/CENPW/NDC80/ZWILCH/NEK2/CENPX/BCL7A/CENPE/NTMT1/NUF2/BRIP1/RACGAP1/HASPIN/CDT1/KIF15/ESCO2/TPX2/NCAPG/INCENP/CDC20/TOP2A/MAD2L1/ESPL1/PRC1/TUBB/PSMC3IP/KNSTRN/TRIP13/XRCC3/KIF22/TTK/BUB1/MKI67/KIF18B/MAP1S/ACTB/SPAG5/DIAPH3/NCAPG2/CENPU/BIRC5/FMN2/NCAPH/KIF23/CDC6/KIF2C/KIFC1/SKA1/TACC3/SPC24/ZWINT/AURKA/CDCA8/MYBL2/UHRF1/UBE2C/CDK1/AURKB/SPC25/CCNE2/DUSP1
GO:0098813	nuclear chromosome segregation	299	-0.619637171673871	-2.47625819196358	3.92954073263378e-24	6.45073406669162e-21	5.4360025587656e-21	2433	tags=39%, list=13%, signal=35%	ACTL6A/RNF212/BCL7B/GEN1/CHAMP1/POLDIP2/ACTR2/NUP62/SMC2/SMARCA4/RRS1/ANAPC11/TENT4A/MAD2L2/AAAS/ECT2/PPP2R1A/MND1/SMC1A/RMI2/KLHDC8B/NUDC/SMC4/CHMP6/DSN1/RAD21/CENPK/PHF13/MZT1/SEH1L/SMARCD3/FBXO5/CCNB2/KIF18A/CHMP1A/EML4/ASPM/KIF14/SPDL1/MAPRE1/CENPF/BUB1B/RIPOR2/FLNA/KNL1/CENPI/DPF1/PTTG1/PSRC1/SGO1/FAM83D/KNTC1/NCAPD3/DLGAP5/NCAPH2/NUSAP1/KIF11/PLK1/KIF4A/CHMP3/FANCD2/CCNB1/SKA3/TUBG1/HSPA1A/NDC80/ZWILCH/NEK2/BCL7A/CENPE/NUF2/BRIP1/RACGAP1/HASPIN/CDT1/KIF15/TPX2/NCAPG/INCENP/CDC20/TOP2A/MAD2L1/ESPL1/PRC1/PSMC3IP/KNSTRN/TRIP13/XRCC3/KIF22/TTK/BUB1/KIF18B/MAP1S/ACTB/SPAG5/NCAPG2/BIRC5/FMN2/NCAPH/KIF23/CDC6/KIF2C/KIFC1/SKA1/TACC3/SPC24/ZWINT/AURKA/CDCA8/MYBL2/UHRF1/UBE2C/CDK1/AURKB/SPC25/CCNE2/DUSP1
GO:0051783	regulation of nuclear division	127	-0.717049151741775	-2.57089283599816	1.0451137662221e-18	1.07228672414388e-15	9.03610862874401e-16	2151	tags=47%, list=11%, signal=42%	NUP62/LRP5/ANAPC11/MAD2L2/BORA/PDGFRB/RAD21/IGF2/PDXP/PLCB1/FBXO5/OBSL1/PDE3A/PIN1/SPDL1/WNT4/CENPF/BUB1B/RAD1/CALR/KNL1/CDCA2/CDC25C/MTBP/DAPK3/KNTC1/DLGAP5/NUSAP1/PLK1/CCNB1/SKA3/NDC80/ZWILCH/NEK2/NUF2/RAD51AP1/HASPIN/INCENP/CDC20/MAD2L1/ESPL1/TRIP13/XRCC3/TTK/BUB1/MKI67/BIRC5/SKA1/SPC24/BMP4/ZWINT/AURKA/CDCA8/UBE2C/AURKB/EDN1/SPC25/PKMYT1/DUSP1/SPHK1
GO:0007088	regulation of mitotic nuclear division	107	-0.743420765399621	-2.60221860372432	1.31975300556121e-18	1.20361474107182e-15	1.01428035082371e-15	2151	tags=50%, list=11%, signal=45%	NUP62/LRP5/ANAPC11/MAD2L2/BORA/PDGFRB/RAD21/IGF2/PDXP/FBXO5/OBSL1/PIN1/SPDL1/CENPF/BUB1B/KNL1/CDCA2/CDC25C/MTBP/DAPK3/KNTC1/DLGAP5/NUSAP1/PLK1/CCNB1/SKA3/NDC80/ZWILCH/NEK2/NUF2/HASPIN/INCENP/CDC20/MAD2L1/ESPL1/TRIP13/XRCC3/TTK/BUB1/MKI67/BIRC5/SKA1/SPC24/BMP4/ZWINT/AURKA/CDCA8/UBE2C/AURKB/EDN1/SPC25/PKMYT1/DUSP1/SPHK1
GO:0006260	DNA replication	279	-0.573637528236347	-2.26566553426539	2.81029186058912e-17	2.30668755917155e-14	1.94383450694011e-14	2550	tags=37%, list=13%, signal=32%	RBBP8/DNAJA3/NYNRIN/MCMBP/RNF126/ACTL6A/RBBP7/GEN1/BLM/INO80E/RPA1/POLD1/PCNA/PARP1/PCLAF/WDHD1/PNKP/UPF1/SDE2/RFC4/POLD3/TIMELESS/ZPR1/RMI2/FANCM/DONSON/GTPBP4/MUS81/DNA2/RUVBL2/BRCA2/POLA1/WEE1/DBF4/TFPT/DYNLL1/RRM1/POLE2/FBXO5/PRIM1/CHTF8/RFWD3/CHTF18/TIPIN/RFC5/INO80C/GMNC/BARD1/LRWD1/PTMS/PRIM2/RFC3/E2F8/ORC1/GLI2/GINS3/BRCA1/POLE/TONSL/MCM6/MCM4/MCM7/ATAD5/GINS4/TRAIP/RFC2/CENPX/CDT1/POLQ/CCNA2/POLA2/ESCO2/LIG1/MCM3/RAD51/MCM8/CHAF1B/CHAF1A/ORC6/TICRR/RECQL4/EXO1/EME1/RNASEH2A/CDC6/TNFAIP1/MCM2/MCM5/GINS1/CDC45/TK1/CDK2/GINS2/DTL/FEN1/ADRA2A/CDK1/CDC25A/FAM111B/MCM10/CCNE2/ID3
GO:0090068	positive regulation of cell cycle process	237	-0.586465940958786	-2.28339836705805	1.90221979775017e-16	1.41940182726668e-13	1.19612309004942e-13	2157	tags=36%, list=11%, signal=32%	SFPQ/NUP62/LRP5/SMC2/ANAPC11/ECT2/SLF1/PPP1R35/SMC4/PDGFRB/WEE1/DBF4/RAD21/RAD18/IGF2/RRM1/AKT1/TFDP1/SMARCD3/PLCB1/FBXO5/CIT/KIF14/WNT4/RANBP1/CENPV/RHNO1/CCND1/EZH2/PLK4/KNL1/STOX1/E2F8/GIPC1/CDC25C/TBX2/MTBP/FAM83D/STIL/NCAPD3/DLGAP5/NCAPH2/NUSAP1/CCND3/CHMP3/CCNB1/SKA3/POC1A/ATAD5/NDC80/RAD51AP1/RACGAP1/NCAPG/INCENP/CDC20/RAB11FIP4/MAD2L1/ESPL1/PKP4/TGFB1/XRCC3/BUB1/DRD2/SPAG5/NCAPG2/BIRC5/NCAPH/MIR221/KIF23/CDC6/SKA1/AURKA/CDCA8/RGCC/DTL/FEN1/UBE2C/CDK1/HSPA2/AURKB/RRM2/CDC25A/EDN1/CCNE2/SPHK1
GO:0006959	humoral immune response	147	0.687655068804255	2.57261328930338	1.91300196361446e-15	1.30849334311229e-12	1.10266104411497e-12	1179	tags=22%, list=6%, signal=21%	CFB/C3/CXCL1/CXCL6/CXCL3/CXCL2/CCL2/CXCL8/CXCL5/IL6/C1R/C1S/BCL3/C1RL/CXCL12/C2/SPNS2/IFNE/TNFRSF21/GATA6/CLU/LGALS3/TRAF3IP2/C7/C6/PF4V1/CX3CL1/PF4/B2M/PSMB10/RNASE4/PLA2G6
GO:0051983	regulation of chromosome segregation	126	-0.68002592161969	-2.43876939440697	2.35732477214033e-15	1.48837859459445e-12	1.25424947997847e-12	2433	tags=44%, list=13%, signal=39%	ACTL6A/BCL7B/GEN1/SMC2/SMARCA4/ANAPC11/MAD2L2/RMI2/SMC4/RAD21/RAD18/SMARCD3/FBXO5/SPDL1/CENPF/BUB1B/KNL1/DPF1/KNTC1/NCAPD3/DLGAP5/NCAPH2/PLK1/CCNB1/SKA3/NDC80/ZWILCH/BCL7A/CENPE/NUF2/HASPIN/NCAPG/INCENP/CDC20/MAD2L1/ESPL1/TRIP13/XRCC3/TTK/BUB1/ACTB/NCAPG2/BIRC5/NCAPH/CDC6/KIF2C/SKA1/TACC3/SPC24/ZWINT/CDCA8/UBE2C/CDK1/AURKB/SPC25/DUSP1
