ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0098687	chromosomal region	367	-0.563796824551227	-2.30409629630004	7.12528352663776e-21	7.54567525470939e-18	6.36025308483034e-18	2917	tags=36%, list=15%, signal=31%	WRNIP1/CLASP2/ERCC1/CENPB/HAT1/PINX1/CENPH/EID3/DMC1/LUZP1/HNRNPA2B1/ACTL6A/PPP1CA/RBBP7/CHAMP1/DCTN3/RASSF2/SPOUT1/BLM/SMARCA4/RPA1/POLD1/OIP5/PCNA/PARP1/NHP2/THOC3/PPP2R1A/DNMT1/ZNF827/UPF1/SMC1A/CENPL/SLF1/ALYREF/MUS81/DNA2/WRAP53/SMC4/CHMP6/BRCA2/NUP85/DSN1/MTA2/NDE1/RAD21/CENPK/DYNLL1/ACD/NDEL1/SEH1L/SUV39H2/KIF18A/CHMP1A/MSH2/PLK5/SPDL1/TELO2/CENPF/SUV39H1/CENPV/CENPA/CENPM/LRWD1/BUB1B/DCLRE1B/EZH2/CENPO/KNL1/CENPI/ORC1/SGO2/SGO1/MTBP/DAPK3/KNTC1/CENPN/MCM6/SSB/NCAPD3/MCM4/PLK1/CHMP3/RANGAP1/MCM7/CCNB1/SKA3/HJURP/CENPW/NDC80/ZWILCH/NEK2/CENPX/CENPE/NUF2/HELLS/RAD51AP1/CDT1/ESCO2/DOT1L/MCM3/NCAPG/INCENP/CDC20/TOP2A/MAD2L1/RAD51/KNSTRN/XRCC3/KIF22/TTK/BUB1/RECQL4/ACTB/SPAG5/CENPU/BIRC5/KIF2C/MCM2/MCM5/SKA1/SPC24/ZWINT/AURKA/CDCA8/ERCC6L/CDK2/SNAI1/FEN1/CDK1/AURKB/CDCA5/SPC25
GO:0015629	actin cytoskeleton	483	-0.518826764953019	-2.16167549635282	8.13169021863029e-20	2.87048664717649e-17	2.41953449312227e-17	2870	tags=36%, list=15%, signal=32%	MYH3/AXL/SPTBN2/RFLNB/ACTR1B/DNM2/TLN2/PARVA/PIEZO1/MAEA/AHNAK/CTTN/BAIAP2/DNAJA3/LUZP1/STX1A/ARPC1B/MYO18A/FCHSD1/FLOT1/VPS18/CLIC4/ACTR2/DCTN3/PDLIM4/ARHGAP21/PDLIM2/HAX1/CAPZB/CTTNBP2NL/TAOK2/TAGLN2/SRC/MST1R/PPP1R9B/JAM3/LIMD2/GBP1/RAB8A/MSRB1/FBLIM1/PLEC/ARPC5L/KLHL17/NF2/ILK/MYO9B/ARPC2/HIP1/ALDOA/PIEZO2/MYO19/SWAP70/SIPA1L3/NUP85/PALLD/DYNLL2/PDXP/MARCKS/ITSN1/PDLIM3/ARPC4/RAC2/LIMA1/CFL2/TPM3/GAS2L3/GAS2L1/SAMD14/MYH2/TMSB15A/INF2/DOCK5/CAP1/MYOZ3/BAIAP2L1/TPM4/BIN3/BAG3/NEURL1B/DBN1/EFR3B/NEXN/SH3PXD2A/DSTN/CNN3/MPRIP/COTL1/PLS3/MYL12B/CYBA/SYNPO2/FERMT2/CTNNA1/BMF/AUTS2/SORBS2/CRMP1/FLNA/CFL1/ARSJ/RAPGEF3/VCL/AFAP1/TEK/ARPC5/DLC1/SYNPO/MYO1B/CNR1/DIAPH1/MTSS1/MYO1E/FILIP1L/DBNL/KNTC1/ARHGAP33/PAWR/FLNB/VASP/CORO1C/FHDC1/SMTN/SIPA1L1/PDLIM7/MYOZ1/MYL12A/CNN2/AMOTL2/ACTG1/EZR/MYO10/MYL6/MYH9/CALD1/BCAR1/CARMIL2/TPM2/FSCN1/TPM1/SLC2A1/ZYX/MYO1C/LASP1/CNN1/PDLIM5/ACTB/RAI14/WDR1/MPP4/DIAPH3/ACTG2/CD274/FMN2/ROR1/TNNT2/DAPK1/ANLN/MICAL2/ACTN1/FLT1/ACTN4/MYADM/SHROOM3/ACTA2/CORIN/KRT19/LIMCH1/HSPB7/CLIC5/MYL9/LMOD1/CRYAB/SORBS1/MYH10/ACTC1
GO:0030055	cell-substrate junction	421	-0.475098511043488	-1.96030360858693	3.96618023666831e-13	5.25023108828967e-11	4.42542215880885e-11	3261	tags=36%, list=17%, signal=31%	HSPA5/RPS15/CBL/SHROOM4/FLOT2/GNA12/DIXDC1/RHOA/TSPAN9/FLRT2/GNB2/ERBIN/PTK7/CLASP2/LAMA3/TES/DNM2/TLN2/PARVA/KRAS/ARF6/AHNAK/HSPA1B/BCAR3/CTTN/PIP5K1C/RRAS/ARHGEF7/ARPC1B/EFS/FLOT1/ACTR2/SNTB1/HYOU1/SDC4/SRC/RSU1/TNS4/ATP6V0C/EHD3/EPPK1/SYNE2/ARF1/ALCAM/FBLIM1/PLEC/CD9/ARPC5L/ILK/ARPC2/MSN/PDGFRB/MDC1/PALLD/DAG1/CD151/CSRP2/ALKBH6/PACSIN2/MARCKS/RAC2/LIMA1/CAP1/TPM4/HMGA1/NECTIN2/AKAP12/TGFB1I1/PFN1/NEXN/MAPRE1/ITGA1/ENG/HSPG2/CNN3/MPRIP/CYBA/SYNPO2/FERMT2/FLRT3/PTK2B/CTNNA1/ITGBL1/SORBS2/CALR/PLAUR/PIP5K1A/AJUBA/FLNA/CFL1/VCL/TNS1/AFAP1/MAP2K1/TEK/ARPC5/TLN1/DLC1/ITGA6/LAYN/ITGB2/ITGB8/ITGA8/FLNB/ANXA6/VASP/CORO1C/CDC42EP1/HSPA8/HSPA1A/PDLIM7/SLC4A2/CNN2/ENAH/ACTG1/EZR/MYH9/FZD1/BCAR1/PVR/LIMS2/ZYX/LASP1/HSPB1/EPHA2/FLNC/CNN1/ACTB/FHL1/CSPG4/NFASC/KIF23/ADGRE5/FHL2/RHOB/SCARF2/ACTN1/TM4SF20/FLT1/TLE2/ACTN4/CSRP1/ITGA3/SPRY4/LMO7/PRAG1/FGFR3/TGM2/SORBS1/NEDD9/MCAM/ACTC1
GO:0000228	nuclear chromosome	214	-0.557728741670658	-2.13808924590059	5.78185606777061e-12	5.56635052342643e-10	4.691879373655e-10	2433	tags=34%, list=13%, signal=30%	ACTL6A/RNF212/RBBP7/RAD9A/BLM/PRPF19/SMC2/INO80E/RPA1/RRS1/POLD1/PCNA/PARP1/WDHD1/POLD3/TIMELESS/SMC1A/MUS81/RUVBL2/SMC4/BRCA2/POLA1/RAD21/TFPT/ZNHIT1/POLE2/PRIM1/NOL6/SAP30/CHMP1A/BRMS1/TIPIN/SUV39H1/INO80C/LRWD1/EXOSC9/RAD1/PRIM2/ORC1/GINS3/BRCA1/POLE/TONSL/MCM6/NCAPD3/MCM4/NCAPH2/PLK1/MCM7/TUBG1/GINS4/NEK2/POLA2/MCM3/NCAPG/INCENP/TOP2A/RAD51/PSMC3IP/ORC6/EME1/NCAPG2/E2F1/BIRC5/NCAPH/MCM2/MCM5/GINS1/CDC45/GINS2/HSPA2/MCM10
GO:0043292	contractile muscle fiber	215	-0.55341253297492	-2.12127595284696	5.4372742949848e-12	5.56635052342643e-10	4.691879373655e-10	3043	tags=37%, list=16%, signal=32%	ANKRD2/DNAJB6/TNNC1/SYNM/MYH3/IGFN1/PARVA/DNAJB4/RTN2/AHNAK/DEK/MTMR12/PDLIM4/PDLIM2/CAPZB/SDC4/SYNC/TUFT1/SYNE2/ARF1/PLEC/ILK/ALDOA/PALLD/DAG1/CSRP2/PDLIM3/OBSL1/CFL2/TPM3/SCO1/CALM3/MYH2/MYOZ3/TPM4/HABP4/JPH2/BAG3/NEXN/CACNA1C/MYL12B/ENO1/SYNPO2/FERMT2/SORBS2/FLNA/VCL/SYNPO/REM1/FLNB/SLC8A1/CORO1C/PDLIM7/MYOZ1/DES/ACTG1/CALD1/TPM2/TPM1/MYPN/SLC2A1/ANK1/HSPB1/FLNC/PDLIM5/TNNT2/FHL2/ACTN1/KRT8/ACTN4/CSRP1/ACTA2/MYOM1/KRT19/MYL9/PDE4B/LMOD1/CRYAB/ANKRD1/ACTC1
GO:0005938	cell cortex	289	-0.506985853747396	-2.0139862436523	4.92762355264324e-11	3.55597738564601e-09	2.99733494660088e-09	3217	tags=39%, list=17%, signal=33%	SHROOM4/FLOT2/TCHP/C2CD2L/CORO1A/RHOA/DCTN1/GPSM2/MLPH/KCNC3/ACTR1A/MYO5B/CLASP2/SPTBN2/EMD/PARD6G/TBCB/GRB2/PIEZO1/ARF6/STXBP1/MAEA/CTTN/ARHGEF7/CEP85/FCHSD1/RIC8A/FLOT1/ACTR2/HAX1/CAPZB/NSMF/PHLDB1/PARD6A/PPP1R9B/ECT2/PDZD4/MPP7/GNAI1/ARPC5L/NF2/ILK/MYO9B/FRY/HIP1/PIEZO2/COBLL1/AKT1/GUCY1B1/MARCKS/TMEM201/RIMS2/CAP1/GPSM1/TPM4/MICAL3/ENO2/AKAP12/DBN1/PFN1/RIMS3/MAPRE1/DSTN/COTL1/MYL12B/ENO1/FERMT2/PTK2B/FGF1/FLNA/CFL1/RAPGEF3/VCL/STOX1/MAP2K1/ARPC5/DLC1/GIPC1/SAPCD2/DBNL/STIL/ARHGAP33/FLNB/MELK/SH3BP1/CORO1C/FAM110A/EZR/MYO10/MYH9/CALD1/FSCN1/SLC2A1/KANK1/MYO1C/LASP1/ACTB/IQGAP3/RAI14/WDR1/FMN2/ANLN/CRIP2/ACTN1/ACTN4/MYADM/SHROOM3/KRT19/CLIC5/MYL9/FGFR2/RIMS1/NEDD9/MYH10
GO:0005911	cell-cell junction	462	-0.420982258964017	-1.74953151480739	2.08569953675564e-08	1.10437790471211e-06	9.30880635351993e-07	3218	tags=34%, list=17%, signal=29%	CTNND1/SHROOM4/FLOT2/SSX2IP/TCHP/DLL1/CORO1A/RHOA/FLRT2/PRKCI/TIAM1/PTK7/WWTR1/SYNM/NOTCH1/LAMA3/SPTBN2/PARD6G/GRB2/FAT4/AHNAK/ANXA2/CYTH1/PLEKHG5/BAIAP2/LAT/MXRA8/NPHP4/PIP5K1C/CDH19/DSC3/LUZP1/LIN7B/RAP1B/PPP1CA/MPP3/CCDC85B/FRMD4A/LAMA1/FLOT1/KIRREL3/CLIC4/POLDIP2/F11R/PDLIM4/APOLD1/VAMP5/CCDC85A/PDLIM2/PTPRU/SRC/AQP3/NECTIN3/PARD6A/PPP1R9B/JAM3/CDH11/ECT2/GJC1/MPP7/EPPK1/PRKCD/GJD3/FRMD5/TMEM47/AMOTL1/WNK4/NF2/FXYD1/KIT/CYTH3/KIFC3/MSN/SIPA1L3/NECTIN1/DAG1/CCDC85C/YAP1/AKT1/PDXP/PACSIN2/CELSR2/PDLIM3/DSP/TRPC6/OBSL1/MYH2/GJC2/TRAF4/MICALL1/BAIAP2L1/NECTIN2/JAM2/DBN1/NEXN/NDRG1/CNN3/RASIP1/FERMT2/SMAD7/FLRT3/CTNNA1/CCND1/AJUBA/EPB41L4B/FLNA/CFL1/VCL/CDH6/ATP2A2/TEK/TLN1/SYNPO/CADM4/ATP1B1/SAPCD2/MYO1E/YWHAH/SLC8A1/ARVCF/SH3BP1/VASP/CDC42EP1/FGFRL1/PDLIM7/DES/CNN2/AMOTL2/ACTG1/EZR/MYH9/EHD4/FSCN1/PVR/PKP4/LIMS2/SLC2A1/ZYX/EPHA2/FZD4/PDLIM5/ACTB/IQGAP3/CDH24/WDR1/MPP4/NFASC/WTIP/CDCA3/ACTN1/KAZN/KRT8/MYADM/SHROOM3/MAGI1/FZD5/TENM2/SORBS1/KRT18
GO:0045095	keratin filament	38	-0.74712580345021	-2.21541757281943	2.51830135785491e-07	1.11120047415348e-05	9.36631382219719e-06	1886	tags=21%, list=10%, signal=19%	EPPK1/KRT80/KRTAP2-3/KRT8/KRTAP1-5/KRT19/KRT7/KRT18
GO:0031252	cell leading edge	402	-0.4052070546862	-1.66671155483971	5.88739768635999e-07	2.22669791066258e-05	1.87688467595236e-05	3215	tags=32%, list=17%, signal=27%	FLOT2/SSX2IP/GNAS/TLR4/STON1/CORO1A/RHOA/DCTN1/GBF1/ARF4/PRKCI/KCNC3/DGKZ/SSH1/CLASP2/PLXND1/TESK1/TLN2/ARHGAP1/APPL2/PIEZO1/ARF6/CTTN/PLEKHG5/BAIAP2/EPS8L1/PIP5K1C/ARHGEF7/ARAP3/SGCE/ANTXR1/FLOT1/INPP5K/PDLIM4/HAX1/CAPZB/CTTNBP2NL/PLCG1/STMN2/NME1/SRC/PARD6A/DPP9/PPP1R9B/CIB1/DUOX1/SYNE2/ARF1/RAPH1/ARHGEF4/PTPRO/NF2/ILK/MYO9B/ARPC2/CYTH3/FAM89B/SWAP70/PALLD/DAG1/ERBB2/KCNN4/TUBB3/NDEL1/AKT1/PDXP/PACSIN2/ITSN1/PLEKHO1/LDB2/RAC2/S100B/LIMA1/KIF18A/FGD4/FERMT2/PTK2B/CTNNA1/SORBS2/PIP5K1A/RIPOR2/AJUBA/CFL1/RAPGEF3/HCN2/PSD/SH3RF1/ARPC5/TLN1/DLC1/LAYN/CADM4/DIAPH1/MTSS1/DBNL/ITGA8/SH3BP1/VASP/CORO1C/TUBG1/PDLIM7/ENAH/EZR/MYO10/MYH9/BCAR1/PDE9A/CARMIL2/FSCN1/TPM1/KCNC4/ANK1/KNSTRN/KANK1/MYO1C/EPHA2/ACTB/ACTG2/CSPG4/ACTN1/KCNB1/TNFRSF12A/MYADM/ACTA2/SPRY4/RASGRP2/NEDD9/MYH10/ACTC1
GO:0030863	cortical cytoskeleton	104	-0.55974292905797	-1.95763033978249	1.36522595432611e-06	4.81924761877116e-05	4.06214599743347e-05	3217	tags=42%, list=17%, signal=35%	SHROOM4/FLOT2/CORO1A/MLPH/CLASP2/SPTBN2/PIEZO1/MAEA/CTTN/FCHSD1/FLOT1/ACTR2/CAPZB/NSMF/PPP1R9B/ARPC5L/NF2/HIP1/PIEZO2/CAP1/TPM4/DBN1/MAPRE1/DSTN/COTL1/FLNA/CFL1/RAPGEF3/VCL/ARPC5/DLC1/EZR/MYH9/CALD1/SLC2A1/LASP1/ACTB/WDR1/ANLN/ACTN1/ACTN4/MYADM/SHROOM3/KRT19
GO:0045171	intercellular bridge	87	-0.585636254169381	-1.99352096099492	1.62223475217239e-06	5.36858313297051e-05	4.52518115079667e-05	3285	tags=45%, list=17%, signal=37%	MICAL1/RMDN3/DCTN1/PRKCI/RAB11FIP3/KIF20B/RAB35/SNRNP25/DNALI1/CEP131/IFT43/SRA1/USB1/PHLPP2/KLHDC8B/TUBB3/TUBB2B/EML4/MICAL3/FAM83D/KIF20A/JPT1/DZIP1L/NCAPH2/PYCR3/NEK2/TUBB2A/CENPE/CEP55/TPX2/PRC1/TUBB/FLNC/TUBB4B/CDC6/TUBB6/SKA1/PPP1R13L/CDCA8
GO:0044217	other organism part	22	0.821505848732838	2.14505515331422	3.69144147162481e-06	0.000111692471955734	9.41456351259501e-05	494	tags=32%, list=3%, signal=31%	CFB/C3/C1R/C1S/C2/C7/C6
