ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04814	Motor proteins	168	-0.591941325466385	-2.21531822273669	4.2078094906845e-12	1.51481141664642e-09	1.01430355091237e-09	1745	tags=32%, list=10%, signal=29%	KLC2/MYO9B/KIFC3/MYO19/KIF1C/DYNLRB1/DYNLL1/TUBB3/DYNLL2/TPM3/MYH2/TUBB2B/KIF18A/KIF7/KIF14/TPM4/TUBA1A/MYL12B/MYO1B/MYO1E/KIF20A/KIF24/KIF11/KIF4A/TUBA1B/TUBG1/MYL12A/TUBB2A/CENPE/ACTG1/MYO10/MYL6/MYH9/KIF15/TUBA1C/TPM2/TUBB/TPM1/KIF22/MYO1C/KIF18B/ACTB/DNAH11/ACTG2/KIF23/TUBB4B/TNNT2/KIF2C/TUBB6/KIFC1/ACTA2/MYL9/MYH10/ACTC1
hsa04061	Viral protein interaction with cytokine and cytokine receptor	59	0.794031447336046	2.56068541178058	1.28421452029775e-11	2.31158613653595e-09	1.54781644814834e-09	2077	tags=47%, list=11%, signal=42%	CXCL1/CXCL6/CXCL3/CXCL2/CCL2/CXCL8/TNFSF14/CXCL5/IL6/TNFSF10/IL18R1/ACKR4/CXCL12/TNFRSF14/IL34/PF4V1/CX3CL1/PF4/CSF1/ACKR3/IL20RB/IL10RB/TNFRSF1B/TNFRSF10B/CCL13/CCL8/TNFRSF10C/TNFRSF1A
hsa04110	Cell cycle	156	-0.581164738489186	-2.15686928625537	3.02160471142411e-10	3.05670840380441e-08	2.04674334640704e-08	2043	tags=37%, list=11%, signal=33%	ANAPC11/PCNA/MAD2L2/PPP2R1A/SMC1A/WEE1/DBF4/RAD21/PPP2R5B/TFDP1/FBXO5/CCNB2/E2F2/BUB1B/CCND1/KNL1/ORC1/PTTG1/CDC25C/SGO1/MTBP/MCM6/MCM4/YWHAH/PLK1/CCND3/MCM7/CCNB1/NDC80/CDT1/CCNA2/ESCO2/CDKN2C/MCM3/CDC20/MAD2L1/ESPL1/SKP2/TGFB1/TRIP13/ORC6/TICRR/TTK/BUB1/GADD45B/E2F1/CDC6/MCM2/MCM5/CDC45/CDK2/CDK1/AURKB/CDC25A/CDCA5/CCNE2/PKMYT1
hsa04060	Cytokine-cytokine receptor interaction	191	0.564185564666882	2.15430398901148	3.39634267089378e-10	3.05670840380441e-08	2.04674334640704e-08	2077	tags=27%, list=11%, signal=24%	CXCL1/CXCL6/CXCL3/CXCL2/CCL2/CXCL8/TNFSF14/CXCL5/IL6/TNFSF10/IL18R1/IL16/GDF5/ACKR4/TNFSF13B/IL32/IL15RA/CXCL12/TNFRSF14/IFNGR1/IFNE/TNFRSF21/NGFR/EDA2R/IL34/IFNAR2/LIFR/IL1R1/BMPR1B/PF4V1/IL17RC/TNFRSF9/CX3CL1/PF4/CSF1/ACKR3/RELL1/LIF/TNFSF15/IL20RB/GDF9/INHA/IL10RB/TNFRSF1B/ACVR1C/TNFRSF10B/INHBE/CCL13/GDF15/CCL8/TNFRSF10C/TNFRSF1A
hsa04519	Cadherin signaling	322	-0.474899699498828	-1.91114635020458	4.44617966584887e-10	3.20124935941119e-08	2.14352661785135e-08	2468	tags=24%, list=14%, signal=21%	TEAD4/CDH19/DSC3/RRAS/ARPC1B/SCN2B/PPP1CA/PCDH19/ACTR2/IKBKG/PCDHGB4/RAF1/LRP5/TAOK2/CDH11/AMOTL1/ARPC5L/NF2/ARPC2/PDGFRB/IGF1R/ERBB2/YAP1/CELSR2/ARPC4/DSP/RAC2/LIMA1/KRT80/WNT4/AXIN2/TCF7/WNT2/FZD7/WNT9A/TEAD1/PTK2B/CTNNA1/AJUBA/VCL/CDH6/MAP2K1/ARPC5/MYO1B/MYO1E/WNT8B/TEAD3/YWHAH/VASP/WNT5B/DES/DAAM2/ENAH/AMOTL2/ACTG1/PCDH7/FZD1/MET/MYO1C/FZD4/LATS2/ACTB/CDH24/ANKRD6/FZD8/WTIP/ACTN1/KRT8/ACTN4/MRAS/MAP2K3/KRT19/FZD5/WNT2B/KRT7/KRT18/VAV3
hsa04820	Cytoskeleton in muscle cells	207	-0.525992894470368	-2.03089219909893	9.55006291938236e-10	5.73003775162942e-08	3.83677966410274e-08	2319	tags=36%, list=13%, signal=32%	SGCE/LAMA1/PDLIM4/PDLIM2/SNTB1/CAPZB/SGCG/SDC4/COMP/THBS3/COL4A2/SYNE2/PLEC/ATP1A3/LMNA/DAG1/CSRP2/COL5A3/PDLIM3/DSP/TPM3/MYH2/INF2/MYOZ3/TPM4/ENO2/ITGA1/COL4A1/HSPG2/SDC3/ENO1/SYNPO2/VCL/TLN1/ITGA6/ATP1B1/NID2/DIAPH1/ITGB8/THBS1/ITGA8/ITGA7/FBN2/PDLIM7/MYOZ1/DES/DAAM2/ACTG1/SDC2/MYH9/TPM2/SDC1/TPM1/MYPN/ZYX/FLNC/PDLIM5/ACTB/DIAPH3/ACTG2/LMNB1/FHL1/FMN2/LMNB2/TNNT2/FHL2/CSRP1/MYOM1/ITGA3/MYL9/LMOD1/MYH10/ANKRD1/ACTC1
hsa04517	IgSF CAM signaling	252	-0.489660911440447	-1.92355508787208	2.55415316133651e-09	1.31356448297306e-07	8.79550487136933e-08	3291	tags=37%, list=18%, signal=30%	NRP2/CASKIN2/PRKCA/PAK4/MAPK11/VAV2/AKT3/SSX2IP/FGFR1/RHOA/PRKCI/FOXO1/SLITRK1/SPTBN2/TUBA4A/PARD6G/GRB2/ARF6/BAIAP2/ARPC1B/RAP1B/NCK2/MPP3/SLIT2/KIRREL3/ACTR2/F11R/PLCG1/SRC/NECTIN3/PARD6A/JAM3/PLXNA3/ICAM3/SLIT3/EPB41L1/ARPC5L/ARPC2/PTPRF/PLXNA1/MSN/NECTIN1/CABLES2/DYNLL1/TUBB3/DYNLL2/AKT1/ARPC4/TRPC6/TUBB2B/PLXNA4/CASKIN1/TUBA1A/NECTIN2/JAM2/MYL12B/PPFIA4/DOK1/VCL/MAP2K1/ARPC5/ITGB2/CADM4/KCNA1/MTSS1/TUBA1B/MYL12A/TUBB2A/ACTG1/EZR/MYL6/MYH9/TUBA1C/BCAR1/PVR/TUBB/ACTB/NFASC/TUBB4B/TUBB6/ACTN1/PLXNA2/ACTN4/MBP/MAGI1/CABLES1/MYL9/LMO7/RIMS1/SORBS1/MYH10/VAV3
hsa04668	TNF signaling pathway	113	0.625268698680397	2.21986602079912	5.72032437962685e-09	2.57414597083208e-07	1.72362405649283e-07	1391	tags=31%, list=8%, signal=29%	CXCL1/CXCL6/TNFAIP3/CXCL3/CXCL2/CCL2/CXCL5/ICAM1/IL6/NFKBIA/IL18R1/BCL3/BIRC3/IRF1/MAP3K8/ADAM17/PIK3R1/CYLD/JUNB/CX3CL1/VCAM1/JAG1/CSF1/MMP14/CFLAR/TRAF3/VEGFC/LIF/MAP2K6/TAB3/NFKB1/CREB3L4/MMP3/CASP8/MLKL
hsa05171	Coronavirus disease	182	0.550801547565964	2.09305403935276	1.12097131353439e-08	4.48388525413756e-07	3.0023676116886e-07	1786	tags=17%, list=10%, signal=16%	CFB/C3/CCL2/CXCL8/IFIH1/IL6/C1R/NFKBIA/C1S/C2/TLR3/MX1/AGTR1/ADAM17/PIK3R1/C7/IFNAR2/C6/IKBKE/TRAF3/RSL24D1/NFKB1/TLR2/MX2/CASP1/MMP3/STAT1/ACE/EGFR/JAK1/RPS27L
hsa04621	NOD-like receptor signaling pathway	146	0.560749176896371	2.06711313024831	2.45651767695403e-08	8.8434636370345e-07	5.92150050549971e-07	2457	tags=27%, list=13%, signal=23%	CXCL1/TNFAIP3/CXCL3/CXCL2/CCL2/CXCL8/NAMPT/IL6/NFKBIA/GBP2/BIRC3/CARD6/P2RX7/IFI16/IFNAR2/IKBKE/CARD8/GBP4/TXN/TRAF3/TAB3/NFKB1/CASP1/CASP4/ITPR2/CASP8/IRF7/STAT1/JAK1/RIPK2/TRPM7/RNASEL/BIRC2/IFNAR1/GABARAPL1/ANTXR2/NAIP/PANX1/IRF9
